row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,reason,entity2_status,entity1_status
413,NPC,20260508-NMP_final.csv,Niemann-Pick disease,Niemann-Pick disease type C,disease_disease,35850050,unresolved_entity1,,in_kg
418,NPC,20260508-NMP_final.csv,cholesterol trafficking,NPC1, bioprocess_protein,35850050,unresolved_entity1,,C5960876
419,NPC,20260508-NMP_final.csv,brain,Niemann-Pick disease type C,anatomy_disease,35850050,unsupported_relation:anatomy_disease,,
420,NPC,20260508-NMP_final.csv,nervous tissues,Niemann-Pick disease type C,anatomy_disease,35850050,unsupported_relation:anatomy_disease,,
423,NPC,20260508-NMP_final.csv,MALT1,receptor tyrosine kinases,protein_protein,38183651,unresolved_entity2,C0206364,
424,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,neurodegenerative disorder,disease_disease,39789920,duplicate_literature_row,,
425,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC1,disease_protein,39789920,duplicate_literature_row,,
426,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC2,disease_protein,39789920,duplicate_literature_row,,
427,NPC,20260508-NMP_final.csv,central nervous system,Niemann-Pick Disease Type C, anatomy_disease,39789920,unsupported_relation:anatomy_disease,,
428,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,hepatosplenomegaly,disease_phenotype_positive,39789920,duplicate_literature_row,,
432,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,epilepsy,disease_phenotype_positive,39789920,duplicate_literature_row,,
434,NPC,20260508-NMP_final.csv,Arimoclomol,Niemann-Pick Disease Type C,indication,40663813,duplicate_literature_row,,
435,NPC,20260508-NMP_final.csv,Arimoclomol,miglustat,drug_drug,40663813,duplicate_literature_row,,
438,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,cerebellar ataxia,disease_phenotype_positive,40663813,duplicate_literature_row,,
440,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,dysphagia,disease_phenotype_positive,40663813,duplicate_literature_row,,
444,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,epilepsy,disease_phenotype_positive,40663813,duplicate_literature_row,,
446,NPC,20260508-NMP_final.csv,accumulation of cholesterol,NPC1,phenotype_protein,40663813,unresolved_entity1,,C5436605
447,NPC,20260508-NMP_final.csv,accumulation of cholesterol,NPC2,phenotype_protein,40663813,unresolved_entity1,,C5436605
