row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,relation_integrated,display_relation,x_id,x_type,x_name,x_source,y_id,y_type,y_name,y_source,entity1_resolve_method,entity2_resolve_method,already_in_base_kg
159,Batten,20260508-Batten_final.csv,late-infantile neuronal ceroid lipofuscinoses,autofluorescent lipofuscin,disease_phenotype_positive,34910516,disease_phenotype_positive,phenotype present,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,3204,effect/phenotype,Intracellular accumulation of autofluorescent lipopigment storage material,HPO,suggested_name,suggested_name,False
160,Batten,20260508-Batten_final.csv,progressive vision loss,CLN3,phenotype_protein,34913584,phenotype_protein,associated with,529,effect/phenotype,Progressive visual loss,HPO,1201,gene/protein,CLN3,NCBI,suggested_name,name,False
163,Batten,20260508-Batten_final.csv,mutant retinas,CTSD,anatomy_protein_present,35033660,anatomy_protein_present,expression present,966,anatomy,retina,UBERON,1509,gene/protein,CTSD,NCBI,suggested_name,name,True
164,Batten,20260508-Batten_final.csv,Cerliponase alfa,neuronal ceroid lipofuscinosis type 2,indication,35045884,indication,indication,DB13173,drug,Cerliponase alfa,DrugBank,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,name,suggested_name,False
165,Batten,20260508-Batten_final.csv,Neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis type 2,disease_disease,35045884,disease_disease,parent-child,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,name,suggested_name,False
166,Batten,20260508-Batten_final.csv,mitochondrial reactive oxygen species,PFKFB3,molfunc_protein,35087090,molfunc_protein,interacts with,72593,biological_process,reactive oxygen species metabolic process,GO,5209,gene/protein,PFKFB3,NCBI,suggested_name,name,False
170,Batten,20260508-Batten_final.csv,ethosuximide,Adult Neuronal Ceroid Lipofuscinosis,indication,36282524,indication,indication,DB00593,drug,Ethosuximide,DrugBank,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,name,suggested_name,False
171,Batten,20260508-Batten_final.csv,CLN5,lipid homeostasis,phenotype_protein,35681535,phenotype_protein,associated with,1203,gene/protein,CLN5,NCBI,55088,biological_process,lipid homeostasis,GO,name,name,False
172,Batten,20260508-Batten_final.csv,CLN5,sphingolipid metabolism,phenotype_protein,35681535,phenotype_protein,associated with,1203,gene/protein,CLN5,NCBI,R-HSA-428157,pathway,Sphingolipid metabolism,REACTOME,name,name,False
173,Batten,20260508-Batten_final.csv,miglustat,rescued locomotor impairment,drug_effect,35681535,drug_effect,side effect,DB00419,drug,Miglustat,DrugBank,19713,disease,non-syndromic limb reduction defect,MONDO,name,suggested_name,False
174,Batten,20260508-Batten_final.csv,trehalose,rescued locomotor impairment,drug_effect,35681535,drug_effect,side effect,19713,disease,non-syndromic limb reduction defect,MONDO,19713,disease,non-syndromic limb reduction defect,MONDO,second_search_suggested_name,suggested_name,False
175,Batten,20260508-Batten_final.csv,miglustat,decreased in lipid droplets,drug_effect,35681535,drug_effect,side effect,DB00419,drug,Miglustat,DrugBank,12240,effect/phenotype,Increased intramyocellular lipid droplets,HPO,name,suggested_name,False
176,Batten,20260508-Batten_final.csv,sepsis,acanthocytosis,disease_phenotype_positive,35917699,disease_phenotype_positive,phenotype present,100806,effect/phenotype,Sepsis,HPO,1927,effect/phenotype,Acanthocytosis,HPO,name,name,False
178,Batten,20260508-Batten_final.csv,neurodegenerative diseases,neuronal ceroid lipofuscinoses,disease_disease,36011304,disease_disease,parent-child,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,name,suggested_name,False
180,Batten,20260508-Batten_final.csv,Neuronal Ceroid Lipofuscinoses,CLN3,disease_protein,36088080,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,1201,gene/protein,CLN3,NCBI,suggested_name,name,True
181,Batten,20260508-Batten_final.csv,Neuronal Ceroid Lipofuscinoses,CLN5,disease_protein,36088080,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,1203,gene/protein,CLN5,NCBI,suggested_name,name,True
183,Batten,20260508-Batten_final.csv,Neuronal Ceroid Lipofuscinoses,CLN8,disease_protein,36088080,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,2055,gene/protein,CLN8,NCBI,suggested_name,name,True
184,Batten,20260508-Batten_final.csv,Neuronal Ceroid Lipofuscinoses,PPT1,disease_protein,36088080,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,5538,gene/protein,PPT1,NCBI,suggested_name,name,True
185,Batten,20260508-Batten_final.csv,disrupt the alpha helix,PPT1,phenotype_protein,36088080,phenotype_protein,associated with,396,effect/phenotype,Overfolded helix,HPO,5538,gene/protein,PPT1,NCBI,suggested_name,name,False
186,Batten,20260508-Batten_final.csv,higher deviation,PPT1,phenotype_protein,36088080,phenotype_protein,associated with,33569,effect/phenotype,Extreme axis deviation,HPO,5538,gene/protein,PPT1,NCBI,suggested_name,name,False
187,Batten,20260508-Batten_final.csv,fluctuation,PPT1,phenotype_protein,36088080,phenotype_protein,associated with,5968,effect/phenotype,Temperature instability,HPO,5538,gene/protein,PPT1,NCBI,suggested_name,name,False
188,Batten,20260508-Batten_final.csv,impact the function,PPT1,phenotype_protein,36088080,phenotype_protein,associated with,33666,effect/phenotype,Diminished physical functioning,HPO,5538,gene/protein,PPT1,NCBI,suggested_name,name,False
189,Batten,20260508-Batten_final.csv,Lysosomal storage disease,CLCN6,disease_protein,35262198,disease_protein,associated with,2561,disease,lysosomal storage disease,MONDO,1185,gene/protein,CLCN6,NCBI,name,name,False
190,Batten,20260508-Batten_final.csv,Neurodegenerative disorders,CLCN6,disease_protein,35262198,disease_protein,associated with,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,1185,gene/protein,CLCN6,NCBI,cui_umls_name,name,False
191,Batten,20260508-Batten_final.csv,PPT1,synaptic cytosol,cellcomp_protein,35358180,cellcomp_protein,interacts with,5538,gene/protein,PPT1,NCBI,99703,cellular component,induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration,GO,name,new_cui,False
192,Batten,20260508-Batten_final.csv,CLN3,neurologic dysfunction,phenotype_protein,35395398,phenotype_protein,associated with,1201,gene/protein,CLN3,NCBI,2344,effect/phenotype,Progressive neurologic deterioration,HPO,name,suggested_name,False
193,Batten,20260508-Batten_final.csv,membrane,CLN6,cellcomp_protein,35404973,cellcomp_protein,interacts with,16020,cellular_component,membrane,GO,54982,gene/protein,CLN6,NCBI,name,name,True
194,Batten,20260508-Batten_final.csv,lysosomal enzyme,TPP1,cellcomp_protein,35425725,cellcomp_protein,interacts with,33299,biological_process,secretion of lysosomal enzymes,GO,1200,gene/protein,TPP1,NCBI,suggested_name,name,False
195,Batten,20260508-Batten_final.csv,proteolysis,CTSD, bioprocess_protein,36347423,bioprocess_protein,interacts with,6508,biological_process,proteolysis,GO,1509,gene/protein,CTSD,NCBI,name,name,True
196,Batten,20260508-Batten_final.csv,KCTD7,CLN5,protein_protein,36368077,protein_protein,ppi,154881,gene/protein,KCTD7,NCBI,1203,gene/protein,CLN5,NCBI,name,name,False
198,Batten,20260508-Batten_final.csv,neurodegenerative diseases,Developmental regression,disease_phenotype_positive,36435927,disease_phenotype_positive,phenotype present,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,2376,effect/phenotype,Developmental regression,HPO,name,name,False
199,Batten,20260508-Batten_final.csv,progressive neurological disorder,anxiety,disease_phenotype_positive,35447247,disease_phenotype_positive,phenotype present,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,739,effect/phenotype,Anxiety,HPO,suggested_name,name,False
200,Batten,20260508-Batten_final.csv,progressive neurological disorder,circling,disease_phenotype_positive,35447247,disease_phenotype_positive,phenotype present,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,suggested_name,second_search_suggested_name,False
201,Batten,20260508-Batten_final.csv,progressive neurological disorder,hypersensitivity,disease_phenotype_positive,35447247,disease_phenotype_positive,phenotype present,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,2524,biological_process,hypersensitivity,GO,suggested_name,name,False
202,Batten,20260508-Batten_final.csv,progressive neurological disorder,sleep disturbance,disease_phenotype_positive,35447247,disease_phenotype_positive,phenotype present,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,2360,effect/phenotype,Sleep disturbance,HPO,suggested_name,name,False
204,Batten,20260508-Batten_final.csv,progressive neurological disorder,visual impairment,disease_phenotype_positive,35447247,disease_phenotype_positive,phenotype present,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,505,effect/phenotype,Visual impairment,HPO,suggested_name,name,False
205,Batten,20260508-Batten_final.csv,late-infantile form of neuronal ceroid lipofuscinosis,MFSD8,disease_protein,35457110,disease_protein,associated with,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,256471,gene/protein,MFSD8,NCBI,suggested_name,name,False
206,Batten,20260508-Batten_final.csv,late-infantile form of neuronal ceroid lipofuscinosis,early onset severe retinal dystrophy,disease_phenotype_positive,35457110,disease_phenotype_positive,phenotype present,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,9549,disease,severe early-childhood-onset retinal dystrophy,MONDO,suggested_name,suggested_name,False
208,Batten,20260508-Batten_final.csv,Neuronal ceroid lipofuscinosis,lipofuscin deposit,disease_phenotype_positive,35462699,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,11813,effect/phenotype,Increased cerebral lipofuscin,HPO,name,suggested_name,False
209,Batten,20260508-Batten_final.csv,Juvenile neuronal ceroid lipofuscinosis,CLN3,disease_protein,36697260,disease_protein,associated with,19262,disease,juvenile neuronal ceroid lipofuscinosis,MONDO,1201,gene/protein,CLN3,NCBI,name,name,False
210,Batten,20260508-Batten_final.csv,neurodegenerative disease,Juvenile neuronal ceroid lipofuscinosis,disease_disease,36697260,disease_disease,parent-child,5559,disease,neurodegenerative disease,MONDO,19262,disease,juvenile neuronal ceroid lipofuscinosis,MONDO,name,name,False
212,Batten,20260508-Batten_final.csv,CLN3,battenin,molfunc_protein,36777709,molfunc_protein,interacts with,1201,gene/protein,CLN3,NCBI,1201,gene/protein,CLN3,NCBI,name,cui_hgnc,False
213,Batten,20260508-Batten_final.csv,battenin,cellular homeostasis, bioprocess_protein,36777709,bioprocess_protein,interacts with,1201,gene/protein,CLN3,NCBI,19725,biological_process,cellular homeostasis,GO,cui_hgnc,name,False
214,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis type 7,MFSD8,disease_protein,36833170,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,256471,gene/protein,MFSD8,NCBI,suggested_name,name,True
215,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis type 7,microcephaly,disease_phenotype_positive,36833170,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,1149,disease,microcephaly,MONDO,suggested_name,name,False
216,Batten,20260508-Batten_final.csv,cerebellar atrophy,MFSD8,phenotype_protein,36833170,phenotype_protein,associated with,1272,effect/phenotype,Cerebellar atrophy,HPO,256471,gene/protein,MFSD8,NCBI,name,name,False
217,Batten,20260508-Batten_final.csv,cerebral atrophy,MFSD8,phenotype_protein,36833170,phenotype_protein,associated with,2059,effect/phenotype,Cerebral atrophy,HPO,256471,gene/protein,MFSD8,NCBI,name,name,False
218,Batten,20260508-Batten_final.csv,developmental regression,MFSD8,phenotype_protein,36833170,phenotype_protein,associated with,2376,effect/phenotype,Developmental regression,HPO,256471,gene/protein,MFSD8,NCBI,name,name,False
219,Batten,20260508-Batten_final.csv,microcephaly,MFSD8,phenotype_protein,36833170,phenotype_protein,associated with,1149,disease,microcephaly,MONDO,256471,gene/protein,MFSD8,NCBI,name,name,False
222,Batten,20260508-Batten_final.csv,resveratrol,SIRT1,drug_protein,36880056,drug_protein,target,DB02709,drug,Resveratrol,DrugBank,23411,gene/protein,SIRT1,NCBI,name,name,True
224,Batten,20260508-Batten_final.csv,Cln3,macropinocytosis, bioprocess_protein,36640303,bioprocess_protein,interacts with,1201,gene/protein,CLN3,NCBI,44351,biological_process,macropinocytosis,GO,name,name,False
225,Batten,20260508-Batten_final.csv,neuroinflammation,neurodegenerative diseases,disease_phenotype_positive,36880056,disease_phenotype_positive,phenotype present,33429,effect/phenotype,Neuroinflammation,HPO,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,name,name,False
226,Batten,20260508-Batten_final.csv,neurogenesis,neurodegenerative diseases,disease_phenotype_positive,36880056,disease_phenotype_positive,phenotype present,22008,biological_process,neurogenesis,GO,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,name,name,False
227,Batten,20260508-Batten_final.csv,autophagy,neurodegenerative diseases,disease_phenotype_positive,36880056,disease_phenotype_positive,phenotype present,6914,biological_process,autophagy,GO,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,name,name,False
228,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis,seizures,disease_phenotype_positive,36918063,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,1250,effect/phenotype,Seizure,HPO,name,cui_xref,True
229,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis,visual impairment,disease_phenotype_positive,36918063,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,505,effect/phenotype,Visual impairment,HPO,name,name,True
230,Batten,20260508-Batten_final.csv,CLN3,G3BP1,protein_protein,36965618,protein_protein,ppi,1201,gene/protein,CLN3,NCBI,10146,gene/protein,G3BP1,NCBI,name,name,False
231,Batten,20260508-Batten_final.csv,hepatocellular carcinoma,CLN3,disease_protein,37014321,disease_protein,associated with,8606_7256_20588_800183,disease,hepatocellular carcinoma,MONDO_grouped,1201,gene/protein,CLN3,NCBI,name,name,False
232,Batten,20260508-Batten_final.csv,hepatocellular carcinoma,SNRPE,disease_protein,37014321,disease_protein,associated with,8606_7256_20588_800183,disease,hepatocellular carcinoma,MONDO_grouped,6635,gene/protein,SNRPE,NCBI,name,name,False
233,Batten,20260508-Batten_final.csv,cell migration,SNRPE,bioprocess_protein,37014321,bioprocess_protein,interacts with,16477,biological_process,cell migration,GO,6635,gene/protein,SNRPE,NCBI,name,name,False
236,Batten,20260508-Batten_final.csv,spinocerebellar ataxia 34,ELOVL4,disease_protein,37184663,disease_protein,associated with,13485_12246_33480_11694_14867_12103_11819_30805_859334_8458_11781_8457_7574_11833_14626_33479_11834_12450_8119_14776_12116_12449_7298_11529_13241_7296_11464_13594_11330_14417_14475_10847_13486_16163_11439_14410_32526_11540_12098_10848_33481_12247_33482_13029_975800,disease,spinocerebellar ataxia,MONDO_grouped,6785,gene/protein,ELOVL4,NCBI,suggested_name,name,True
237,Batten,20260508-Batten_final.csv,spinocerebellar ataxia 34,late-onset progressive ataxia,disease_phenotype_positive,37184663,disease_phenotype_positive,phenotype present,13485_12246_33480_11694_14867_12103_11819_30805_859334_8458_11781_8457_7574_11833_14626_33479_11834_12450_8119_14776_12116_12449_7298_11529_13241_7296_11464_13594_11330_14417_14475_10847_13486_16163_11439_14410_32526_11540_12098_10848_33481_12247_33482_13029_975800,disease,spinocerebellar ataxia,MONDO_grouped,16591,disease,sporadic adult-onset ataxia of unknown etiology,MONDO,suggested_name,suggested_name,False
238,Batten,20260508-Batten_final.csv,spinocerebellar ataxia 34,storage lipid accumulation within neuronal lipofuscin,disease_phenotype_positive,37184663,disease_phenotype_positive,phenotype present,13485_12246_33480_11694_14867_12103_11819_30805_859334_8458_11781_8457_7574_11833_14626_33479_11834_12450_8119_14776_12116_12449_7298_11529_13241_7296_11464_13594_11330_14417_14475_10847_13486_16163_11439_14410_32526_11540_12098_10848_33481_12247_33482_13029_975800,disease,spinocerebellar ataxia,MONDO_grouped,11813,effect/phenotype,Increased cerebral lipofuscin,HPO,suggested_name,suggested_name,False
239,Batten,20260508-Batten_final.csv,lipid storage disease,spinocerebellar ataxia 34,disease_disease,37184663,disease_disease,parent-child,15611,disease,neutral lipid storage disease,MONDO,13485_12246_33480_11694_14867_12103_11819_30805_859334_8458_11781_8457_7574_11833_14626_33479_11834_12450_8119_14776_12116_12449_7298_11529_13241_7296_11464_13594_11330_14417_14475_10847_13486_16163_11439_14410_32526_11540_12098_10848_33481_12247_33482_13029_975800,disease,spinocerebellar ataxia,MONDO_grouped,suggested_name,suggested_name,False
241,Batten,20260508-Batten_final.csv,cerliponase alfa,reduced neurological decline,drug_effect,37329878,drug_effect,side effect,DB13173,drug,Cerliponase alfa,DrugBank,2344,effect/phenotype,Progressive neurologic deterioration,HPO,name,suggested_name,False
242,Batten,20260508-Batten_final.csv,adult-onset neuronal ceroid lipofuscinoses,epilepsy,disease_phenotype_positive,37566176,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,5027,disease,epilepsy,MONDO,suggested_name,name,False
243,Batten,20260508-Batten_final.csv,adult-onset neuronal ceroid lipofuscinoses,cognitive impairment,disease_phenotype_positive,37566176,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,100543,effect/phenotype,Cognitive impairment,HPO,suggested_name,name,True
247,Batten,20260508-Batten_final.csv,Lithium,neuronal ceroid lipofuscinosis,drug_effect,37746516,drug_effect,side effect,D008094,exposure,Lithium,CTD,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,name,name,False
248,Batten,20260508-Batten_final.csv,cerliponase alfa,prevent motor decline,drug_effect,37926545,drug_effect,side effect,DB13173,drug,Cerliponase alfa,DrugBank,10862,effect/phenotype,Delayed fine motor development,HPO,name,suggested_name,False
249,Batten,20260508-Batten_final.csv,cerliponase alfa,prevent language decline,drug_effect,37926545,drug_effect,side effect,DB13173,drug,Cerliponase alfa,DrugBank,7064,effect/phenotype,Progressive language deterioration,HPO,name,suggested_name,False
250,Batten,20260508-Batten_final.csv,cerliponase alfa,TPP1,drug_protein,38101904,drug_protein,target,DB13173,drug,Cerliponase alfa,DrugBank,1200,gene/protein,TPP1,NCBI,name,name,False
252,Batten,20260508-Batten_final.csv,cerliponase alfa,slowed motor decline,drug_effect,38101904,drug_effect,side effect,DB13173,drug,Cerliponase alfa,DrugBank,2333,effect/phenotype,Motor deterioration,HPO,name,suggested_name,False
253,Batten,20260508-Batten_final.csv,CLN5,lysosomal enzyme,exposure_bioprocess,38141359,exposure_bioprocess,interacts with,1203,gene/protein,CLN5,NCBI,33299,biological_process,secretion of lysosomal enzymes,GO,name,suggested_name,False
256,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis,ATP13A2,disease_protein,38249738,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,23400,gene/protein,ATP13A2,NCBI,name,name,True
259,Batten,20260508-Batten_final.csv,CLN5,secretion,bioprocess_protein,38272448,bioprocess_protein,interacts with,1203,gene/protein,CLN5,NCBI,46903,biological_process,secretion,GO,name,name,False
260,Batten,20260508-Batten_final.csv,CTSD,secretion,bioprocess_protein,38272448,bioprocess_protein,interacts with,1509,gene/protein,CTSD,NCBI,46903,biological_process,secretion,GO,name,name,False
261,Batten,20260508-Batten_final.csv,neuroinflammation,neuropathic pain,phenotype_phenotype,38368171,phenotype_phenotype,parent-child,33429,effect/phenotype,Neuroinflammation,HPO,6000040,effect/phenotype,Neuropathic pain,HPO,name,name,False
262,Batten,20260508-Batten_final.csv,dystonia,THAP1,disease_protein,38498291,disease_protein,associated with,15004_10983_44871_12712_14019_30486_30513_30538_13813_15003_12789_859215_14627_25691_30958_7495_7496_957385_14033_957542_30455_13928_957539_24304_9142_100098,disease,dystonia,MONDO_grouped,55145,gene/protein,THAP1,NCBI,name,name,False
263,Batten,20260508-Batten_final.csv,THAP1,ATF4,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,468,gene/protein,ATF4,NCBI,name,name,False
264,Batten,20260508-Batten_final.csv,THAP1,CLN3,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,1201,gene/protein,CLN3,NCBI,name,name,False
265,Batten,20260508-Batten_final.csv,THAP1,EIF2A,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,83939,gene/protein,EIF2A,NCBI,name,name,False
266,Batten,20260508-Batten_final.csv,THAP1,RRM1,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,6240,gene/protein,RRM1,NCBI,name,name,False
267,Batten,20260508-Batten_final.csv,THAP1,YY1,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,7528,gene/protein,YY1,NCBI,name,name,True
268,Batten,20260508-Batten_final.csv,THAP1,BDKRB2,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,624,gene/protein,BDKRB2,NCBI,name,name,False
269,Batten,20260508-Batten_final.csv,THAP1,LPAR1,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,1902,gene/protein,LPAR1,NCBI,name,name,False
270,Batten,20260508-Batten_final.csv,THAP1,CRADD,protein_protein,38498291,protein_protein,ppi,55145,gene/protein,THAP1,NCBI,8738,gene/protein,CRADD,NCBI,name,name,False
271,Batten,20260508-Batten_final.csv,neurological disorders,STXBP1,disease_protein,38498291,disease_protein,associated with,5071,disease,nervous system disorder,MONDO,6812,gene/protein,STXBP1,NCBI,cui_xref,name,False
