Unnamed: 0.1,Unnamed: 0,anchor_group_name,legacy_lookup_status,legacy_conflict_names,Expert review,anchor_group_idx,decision_auto,proposed_group_name_auto,cutoff,cluster_size,cluster_member_idx,cluster_member_name,reviewer_final_group_name,cui,member_name
58,1591,atrophy of testis,missing,,no,17652.0,yes,atrophy of testis,0.98,2.0,17652|17789,atrophy of testis || atrophy of thyroid,,C0156312,atrophy of testis
58,1591,atrophy of testis,missing,,no,17652.0,yes,atrophy of testis,0.98,2.0,17652|17789,atrophy of testis || atrophy of thyroid,,C2981141,atrophy of thyroid
59,1603,bladder sarcoma,missing,,no,17864.0,yes,bladder sarcoma,0.98,4.0,12010|12077|17864|18485,kidney sarcoma || breast sarcoma || bladder sarcoma || bladder lymphoma,,C0346251,kidney sarcoma
59,1603,bladder sarcoma,missing,,no,17864.0,yes,bladder sarcoma,0.98,4.0,12010|12077|17864|18485,kidney sarcoma || breast sarcoma || bladder sarcoma || bladder lymphoma,,C0349667,breast sarcoma
59,1603,bladder sarcoma,missing,,no,17864.0,yes,bladder sarcoma,0.98,4.0,12010|12077|17864|18485,kidney sarcoma || breast sarcoma || bladder sarcoma || bladder lymphoma,,C0349666,bladder sarcoma
59,1603,bladder sarcoma,missing,,no,17864.0,yes,bladder sarcoma,0.98,4.0,12010|12077|17864|18485,kidney sarcoma || breast sarcoma || bladder sarcoma || bladder lymphoma,,C1332561,bladder lymphoma
60,1699,leukorrhea,missing,,no,19001.0,yes,leukorrhea,0.98,2.0,17179|19001,leukostasis || leukorrhea,,C0282548,leukostasis
60,1699,leukorrhea,missing,,no,19001.0,yes,leukorrhea,0.98,2.0,17179|19001,leukostasis || leukorrhea,,C0023533,leukorrhea
61,1712,epithelioid neurofibroma,missing,,no,19174.0,yes,epithelioid neurofibroma,0.98,2.0,19174|23442,epithelioid neurofibroma || epithelioid cell nevus,,C1275264,epithelioid neurofibroma
61,1712,epithelioid neurofibroma,missing,,no,19174.0,yes,epithelioid neurofibroma,0.98,2.0,19174|23442,epithelioid neurofibroma || epithelioid cell nevus,,C0259820,epithelioid cell nevus
62,1723,breast liposarcoma,found,,no,19282.0,yes,breast liposarcoma,0.98,6.0,10513|12077|12673|18304|19280|19282,breast carcinoma || breast sarcoma || breast adenoma || breast lipoma || kidney liposarcoma || breast liposarcoma,,C0678222,breast carcinoma
62,1723,breast liposarcoma,found,,no,19282.0,yes,breast liposarcoma,0.98,6.0,10513|12077|12673|18304|19280|19282,breast carcinoma || breast sarcoma || breast adenoma || breast lipoma || kidney liposarcoma || breast liposarcoma,,C0349667,breast sarcoma
62,1723,breast liposarcoma,found,,no,19282.0,yes,breast liposarcoma,0.98,6.0,10513|12077|12673|18304|19280|19282,breast carcinoma || breast sarcoma || breast adenoma || breast lipoma || kidney liposarcoma || breast liposarcoma,,C1328385,breast adenoma
62,1723,breast liposarcoma,found,,no,19282.0,yes,breast liposarcoma,0.98,6.0,10513|12077|12673|18304|19280|19282,breast carcinoma || breast sarcoma || breast adenoma || breast lipoma || kidney liposarcoma || breast liposarcoma,,C0349565,breast lipoma
62,1723,breast liposarcoma,found,,no,19282.0,yes,breast liposarcoma,0.98,6.0,10513|12077|12673|18304|19280|19282,breast carcinoma || breast sarcoma || breast adenoma || breast lipoma || kidney liposarcoma || breast liposarcoma,,C1335745,kidney liposarcoma
62,1723,breast liposarcoma,found,,no,19282.0,yes,breast liposarcoma,0.98,6.0,10513|12077|12673|18304|19280|19282,breast carcinoma || breast sarcoma || breast adenoma || breast lipoma || kidney liposarcoma || breast liposarcoma,,C1332632,breast liposarcoma
