node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert,group_id_source
7866,disease,Bart-Pumphrey syndrome,MONDO,Bart-Pumphrey syndrome,Bart-Pumphrey syndrome,,
958331,disease,developmental and epileptic encephalopathy 114,MONDO,developmental and epileptic encephalopathy,developmental and epileptic encephalopathy,23659_14942_14328_100079_32678_14593_14150_33361_33363_30727_14505_957780_13389_32858_859314_31021_12812_14868_32663_20631_54845_25353_13387_13388_33372_32813_14607_10632_33371_33368_13801_14533_958331_32710_14933_32598_30957_20632_14859_33373_30856_32808_31052_14392_958330_14371_14377_15002_33369_859327_33374_14916_14895_14625_10246_957248_29138_859325_14598_30268_32918_12245_14917_30881_31055_10396_970945_33370_32725_14199_14921_968946_32895_15025_33365_20630_14595_14201_14133_34106_32752_32822_32812_10472_15000_13989_30072_30059_957812_30472_14949_14647_10375_30473_33367_31028_13056_30054_33362_30695_30453_14719_32768_32657_13277_14003_33366_14360_14718_33364_14947_26771_14477_32880_100620_1060177,bert_join
9346,disease,histidinuria due to a renal tubular defect,MONDO,histidinuria due to a renal tubular defect,histidinuria due to a renal tubular defect,,
14397,disease,combined oxidative phosphorylation defect type 20,MONDO,combined oxidative phosphorylation defect,combined oxidative phosphorylation defect,13969_14684_14728_13977_14547_14397_14525_12510_13986_13987_14190_13306_12534_14398_14636_13811_14856_13570,bert_join
11374,disease,"hypercholesterolemia, familial, 4",MONDO,"hypercholesterolemia, familial","hypercholesterolemia, familial",11374_7750_5439,legacy_exact_members
859280,disease,"developmental delay, hypotonia, and impaired language",MONDO,"developmental delay, hypotonia, and impaired language",agammaglobulinemia,957495_859280_11897_13309_10174_859230_19267_35472_3274_15697_15977,bert_join
30519,disease,"agammaglobulinemia 9, autosomal recessive",MONDO,"agammaglobulinemia 9, autosomal recessive",short-rib thoracic dysplasia with or without polydactyly,14284_9207_12217_7116_30519_9806_11120_33864_10448_17195_800501,bert_join
36483,disease,short-rib thoracic dysplasia 18 with polydactyly,MONDO,short-rib thoracic dysplasia 18 with polydactyly,short-rib thoracic dysplasia 18 with polydactyly,,
10684,disease,X-linked myopathy with excessive autophagy,MONDO,X-linked myopathy with excessive autophagy,X-linked myopathy with excessive autophagy,,
10392,disease,glycogen storage disease due to phosphoglycerate kinase 1 deficiency,MONDO,glycogen storage disease,glycogen storage disease,13291_13587_9868_9288_12693_10392_9295_13047_13091_13046_9293_9216_10598_9291_9287_9865_10362_9292_9294_9290_12747_2413_20693_17694_16527_6938_23258_700291_514_1011419_18485_17697_17698_17700_17695_17696_17699_17701_100439_800302_1010698_1010699_1010703_1010704_1010717_1010849_1010850_1010851_1010852_1010853_1011518_1012605_1012606_1012607,bert_join
30513,disease,dystonia 33,MONDO,dystonia,dystonia,15004_10983_44871_12712_14019_30486_30513_30538_13813_15003_12789_859215_14627_25691_30958_7495_7496_957385_14033_957542_30455_13928_957539_24304_9142_100098,bert_join
54741,disease,combined oxidative phosphorylation deficiency 34,MONDO,combined oxidative phosphorylation deficiency,combined oxidative phosphorylation deficiency,32679_859323_30020_33569_30017_33570_859228_30378_30311_14269_30006_54741_859337_33631_54742_33534_33533_30543_14775_14781_32726_32712_54654_33537_30007_30008_54677_20727_54781_957537_957992_33566_732,bert_join
10079,disease,Canavan disease,MONDO,Canavan disease,Canavan disease,10079_16781_16207,bert_join
8792,disease,familial angiolipomatosis,MONDO,familial angiolipomatosis,familial angiolipomatosis,9719_8792_7470_17752,bert_join
8444,disease,"spastic paraplegia, optic atrophy, and dementia",MONDO,"spastic paraplegia, optic atrophy, and dementia","spastic paraplegia, optic atrophy, and dementia",,
13244,disease,brachydactyly type E2,MONDO,brachydactyly,brachydactyly,7217_7215_13244_7216_7223_14032_12658_7218_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701,bert_join
9705,disease,carnitine palmitoyl transferase 1A deficiency,MONDO,carnitine palmitoyl transferase 1A deficiency,carnitine palmitoyl transferase 1A deficiency,,
958279,disease,megalencephaly-polydactyly syndrome,MONDO,megalencephaly-polydactyly syndrome,megalencephaly-polydactyly syndrome,,
859251,disease,Dentici-Novelli neurodevelopmental syndrome,MONDO,Dentici-Novelli neurodevelopmental syndrome,Dentici-Novelli neurodevelopmental syndrome,,
8751,disease,corticosterone methyloxidase type 1 deficiency,MONDO,corticosterone methyloxidase type 1 deficiency,corticosterone methyloxidase type 1 deficiency,,
10687,disease,"nephrolithiasis, X-linked recessive, with renal failure",MONDO,"nephrolithiasis, X-linked recessive, with renal failure","nephrolithiasis, X-linked recessive, with renal failure",,
60568,disease,Pilarowski-Bjornsson syndrome,MONDO,Pilarowski-Bjornsson syndrome,Pilarowski-Bjornsson syndrome,,
14043,disease,microcephalic primordial dwarfism due to ZNF335 deficiency,MONDO,microcephalic primordial dwarfism due to ZNF335 deficiency,microcephalic primordial dwarfism due to ZNF335 deficiency,,
13040,disease,atypical hemolytic-uremic syndrome with MCP/CD46 anomaly,MONDO,atypical hemolytic-uremic syndrome with MCP/CD46 anomaly,atypical hemolytic-uremic syndrome with MCP/CD46 anomaly,,
14037,disease,spermatogenic failure 11,MONDO,spermatogenic failure,spermatogenic failure,30718_32863_32859_30463_30307_30733_14961_971002_54731_54728_20855_30984_13070_957594_30868_30721_54729_20851_54723_10763_54724_54730_30869_859522_23664_31083_957593_20852_859338_30846_11720_30493_14847_700290_14037_33673_33671_30492_13901_54725_10767_30522_975958_30809_33622_13505_32744_30507_30531_14365_957301_957249_970952_30508_32898_32896_32686_32748_14366_13504_10052_30972_30844_9776_958242_30989_29147_957250_29148_957821_30818_54726_859352_30430_30439_32739_54727_30515_859364_31077_30926_14172_54615_30716_30938_7060_54732_970999_32845_975842_971000_7161_30787_54733_9461_957584_14970_30732_4983_958206_975747,bert_join
13048,disease,hereditary spastic paraplegia 50,MONDO,hereditary spastic paraplegia,hereditary spastic paraplegia,14302_12928_14568_12867_12766_13132_13239_11489_11785_11339_14304_10044_13962_11408_14018_12213_14644_12448_12787_14282_11532_12866_11445_14015_12639_12181_14295_8438_13552_14020_10043_11803_13165_13551_13342_11006_10047_14882_14016_12476_10287_12256_13048_10418_13179_14729_13401_10046_14303_11992_13737_11522_14024_12334_12453_8437_12643_10733_11862_14305_10878_19064,legacy_exact_members
