STT,doi/PMID,Abstract/ Introduction,loại tạp chí,experiment,model,relation,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_protein,mutation,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,CLN5,protein/gene,CLN5 neuronal ceroid lipofuscinosis is a hereditary neurodegenerative disease... Golden Retriever littermates homozygous for the CLN5 disease allele,7,10,70.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,progressive neurological decline,phenotype,CLN5 neuronal ceroid lipofuscinosis is a hereditary neurodegenerative disease characterized by progressive neurological decline...,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,vision loss,phenotype,"...characterized by progressive neurological decline, vision loss and seizures",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,seizures,phenotype,"...characterized by progressive neurological decline, vision loss and seizures",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,Visual impairment,phenotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,global brain atrophy,phenotype,...impaired central nervous system function associated with global brain atrophy.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,behavioral disease signs,phenotype,...the severity of behavioral and motor disease signs by 23 months of age.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 5",disease,motor disease signs,phenotype,...the severity of behavioral and motor disease signs by 23 months of age.,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,phenotype_anatomy,,lysosomal storage bodies,phenotype,occipital cortex,anatomy,...extensive accumulation of autofluorescent membrane-bound lysosomal storage bodies... in the occipital cortex...,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,phenotype_anatomy,,accumulation of lysosomal storage bodies,phenotype,retinal layers,anatomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,phenotype_anatomy,,accumulation of lysosomal storage bodies,phenotype,retinal ganglion cells,anatomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,phenotype_anatomy,,accumulation of lysosomal storage bodies,phenotype,retinal pigment epithelium,anatomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34216614,Abstract,original article,in vivo,human,phenotype_anatomy,,accumulation of lysosomal storage bodies,phenotype,photoreceptor cells,anatomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Abstract,original article,in vivo,human,disease_disease,,neurodegenerative disorders,disease,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,Neuronal ceroid lipofuscinosis (NCL) is a group of neurodegenerative disorders mainly affecting the gray matter,11,14,78.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Introduction (khổ cuối),original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,seizures,phenotype,"characterized by seizures, cognitive decline, myoclonus, visual impairment, and abnormal movements.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Introduction (khổ cuối),original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,cognitive decline,phenotype,"characterized by seizures, cognitive decline, myoclonus, visual impairment, and abnormal movements.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Introduction (khổ cuối),original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,diffuse cerebral atrophy,phenotype,"Neuroimaging abnormalities in NCL include varying degrees of diffuse cerebral atrophy, cerebellar atrophy, and thalamic hypointensities.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Abstract,original article,in vivo,human,disease_protein,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,PPT1,protein/gene,Around 15 children were diagnosed to have CLN‑1... based on palmitoyl protein thioesterase‑1 deficiency,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Abstract,original article,in vivo,human,disease_protein,,"CEROID LIPOFUSCINOSIS, NEURONAL, 2",disease,TPP1,protein/gene,24 children were diagnosed with CLN2... based on deficient tripeptidyl‑peptidase‑1 activity,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,refractory seizures,phenotype,"Clinical presentation was quite varied and included refractory seizures, developmental delay/regression, and abnormal movements.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,developmental delay,phenotype,"Clinical presentation was quite varied and included refractory seizures, developmental delay/regression, and abnormal movements.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,developmental regression,phenotype,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34220062,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 1",disease,abnormal movements,phenotype,"Clinical presentation was quite varied and included refractory seizures, developmental delay/regression, and abnormal movements.",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_disease,,"
Late infantile neuronal ceroid lipofuscinosis",disease,Late infantile CLN2 disease,disease,"""Late infantile neuronal ceroid lipofuscinosis (CLN2 Batten disease) is a rare, progressive neurodegenerative disease of childhood.""",9,10,90.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,Late infantile CLN2 disease,disease,motor regression,phenotype,"""The natural history of motor and language regression is used to monitor the efficacy of CNS treatments.""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,Late infantile CLN2 disease,disease, language regression,phenotype,"""The natural history of motor and language regression is used to monitor the efficacy of CNS treatments.""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,Late infantile CLN2 disease,disease,"
CLN2 retinopathy",pathology,"""Less is known about CLN2 retinopathy.""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,Late infantile CLN2 disease,disease,cone system dysfunction,phenotype,"""ERGs show cone/rod system dysfunction preceded by localised macular ellipsoid zone disruption on OCT from 4.8 years.""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,Late infantile CLN2 disease,disease,rod system dysfunction,phenotype,"""ERGs show cone/rod system dysfunction preceded by localised macular ellipsoid zone disruption on OCT from 4.8 years.""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,Late infantile CLN2 disease,disease,localised macular ellipsoid zone disruption,pathology,"""ERGs show cone/rod system dysfunction preceded by localised macular ellipsoid zone disruption on OCT from 4.8 years.""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,Late infantile CLN2 disease,disease,CST thinning,phenotype,"""Cone ERGs show a functional deficit before CST thinning in classical disease.""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,"
CEROID LIPOFUSCINOSIS, NEURONAL, 2 retinopathy",disease,cone system dysfunction,phenotype,"""ERG findings in CLN2 retinopathy show symmetrical cone-rod dysfunction...""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_phenotype_positive,,"
CEROID LIPOFUSCINOSIS, NEURONAL, 2 retinopathy",disease,rod system dysfunction,phenotype,"""ERG findings in CLN2 retinopathy show symmetrical cone-rod dysfunction...""",,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,phenotype_phenotype,,macular ellipsoid zone disruption,phenotype,cone system dysfunction,phenotype,"""ERGs show cone/rod system dysfunction preceded by localised macular ellipsoid zone disruption on OCT from 4.8 years.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,phenotype_phenotype,,macular ellipsoid zone disruption,phenotype,rod system dysfunction,phenotype,"""ERGs show cone/rod system dysfunction preceded by localised macular ellipsoid zone disruption on OCT from 4.8 years.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34272513,Abstract,original article,in vivo,human,disease_protein,mutation,Late infantile CLN2 disease,disease,CLN2,protein/gene,"""Late infantile neuronal ceroid lipofuscinosis (CLN2 Batten disease)... genetically confirmed CLN2 disease""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,34313725,Abstract,original article,in vivo,human,disease_phenotype_positive,,"CEROID LIPOFUSCINOSIS, NEURONAL, 2",disease,progressive brain deterioration,phenotype,"""CLN2-associated disease is a hereditary, fatal lysosomal storage disorder characterized by progressive brain and retinal deterioration.""",6,7,85.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
