entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
impaired smooth pursuit gain,phenotype,yes,Impaired smooth pursuit,C1837458
impaired vertical reflexive saccades,phenotype,yes,Dysmetric vertical saccades,C4732803
impaired vertical saccades,phenotype,no,,
impaired vertical upward and downward saccades,phenotype,yes,Dysmetric vertical saccades,C4732803
impairment of cognitive inhibition,phenotype,no,,
impairment of lysosomal function,phenotype,yes,Abnormality of lysosomal metabolism,C4025342
impairment of mitophagy,phenotype,no,,
impairment of verbal fluency,phenotype,no,,
impairs developmental trajectories,phenotype,yes,Moderate global developmental delay,C2237142
improve lysosomal function,phenotype,no,,
improve motor coordination,phenotype,no,,
improved ataxia,phenotype,yes,acquired ataxia,C4302112
improved behavioural phenotypes,phenotype,no,,
"improved cellular fifitness,",phenotype,no,,
improved cholesterol efflux,biological_process,no,,
improved cholesterol mobilization,phenotype,no,,
improved feeding phenotypes,phenotype,no,,
improved mitochondrial function,phenotype,no,,
improved mitochondrial functional performance,phenotype,no,,
improved motor function,phenotype,no,,
improved motor functions,phenotype,no,,
improves the decline of locomotor activity,phenotype,no,,
increase adenosine levels,phenotype,no,,
increase in inflammatory gene expression,phenotype,yes,Increased inflammatory response,C4022803
increase long term hematopoietic stem cells in spleen,phenotype,no,,
increase long term hematopoietic stem in cells spleen,phenotype,no,,
increase of mitochondrial cholesterol content,phenotype,no,,
increase of this bile acid,phenotype,no,,
increase short term hematopoietic stem cells in spleen,phenotype,no,,
increase short term hematopoietic stem in cells spleen,phenotype,no,,
increase the number of mature neurons,phenotype,no,,
"increased 3β,5α,6β-trihydroxycholanyl glycine",phenotype,no,,
increased astrogliosis,phenotype,no,,
increased cholesterol content associated with mitochondria,phenotype,no,,
increased immune response,phenotype,no,,
increased levels of extracellular adenosine,phenotype,no,,
increased levels of tau protein,phenotype,no,,
increased lysosomal volume,phenotype,no,,
increased median survival,phenotype,no,,
increased membrane contact sites,phenotype,no,,
increased mitochondrial membrane fluidity,phenotype,no,,
increased phosphatidylcholine ratio,phenotype,no,,
increased phosphatidylethanolamine ratio,phenotype,no,,
increased plasma granulocyte-colony stimulating factor by 2-fold,phenotype,no,,
increasing adenosine levels,phenotype,no,,
induced extracellular release of lysosomal components,phenotype,no,,
inefficient efferocytosis,phenotype,no,,
inherited neurovisceral genetic disorder,phenotype,no,,
initial psychopharmacology,phenotype,no,,
injured livers,anatomy,no,,
intensive blinking,phenotype,yes,Abnormal blink rate,C5826653
intolerance of psychopharmacological drugs,phenotype,no,,
intracellular accumulation of non-esterified cholesterol,phenotype,no,,
intracellular accumulation of other lipids,phenotype,no,,
intracellular cholesterol defect,phenotype,no,,
intracellular cholesterol trafficking,biological_process | pathway,no,,
intracellular cholesterol transport inhibitor,drug,no,,
intracellular mobilization of water-insoluble molecules,biological_process,no,,
intracellular sphingolipid transport,biological_process,no,,
intracellular trafficking of cholesterol,biological_process,no,,
intramitochondrial cholesterol trafficking,biological_process,no,,
intrathecal 2-hydroxypropyl-β-cyclodextrin,drug,no,,
isogenic induced pluripotent stem cells,anatomy,no,,
kinesin domain,molecular_function,no,,
late endosomal accumulation of unesterified cholesterol,phenotype,no,,
late endosome cholesterol accumulation,phenotype,no,,
late endosome cholesterol transport,phenotype,no,,
late endosome morphology,phenotype,no,,
late endosome tubulation,biological_process | phenotype,no,,
late lysosomal and endosomal compartments,cellular_component,no,,
lateral trajectory of the eyes,phenotype,no,,
lipid accumulation in late endosomes,phenotype,no,,
lipid accumulation in lysosomes,phenotype,no,,
lipid burden,phenotype,no,,
lipid clearance,phenotype,no,,
lipid dysregulation,phenotype,no,,
lipid transport pathway,biological_process,no,,
lipid-laden foamy macrophages,phenotype,no,,
liver failure developed,phenotype,no,,
liver−spleen region,anatomy,no,,
long-term congenital immunodeficiencies,disease,no,,
loose cell bodies,phenotype,no,,
loss in neuronal signaling capacity,phenotype,no,,
loss of lipid rafts,phenotype,no,,
loss of mental and physical abilities,phenotype,no,,
loss of psychomotor acquisitions,phenotype,yes,Progressive psychomotor deterioration,C1856565
low expression tyrosinase,phenotype,yes,tyrosinase activity,C3806150
low levels of esterified cholesterols,phenotype,yes,"low density lipoprotein cholesterol, mild elevation of",C1857956
low levels of long-chain fatty acids,phenotype,yes,Very long chain fatty acid accumulation,C3279397
lower cerebral expression of genes within interferon signaling pathways,phenotype,no,,
