,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
71,cholesterol accumulation,Brain,phenotype,anatomy,phenotype_anatomy,38142760,C5436605,in_kg,,,
73,neurogenetic disease,Niemann-Pick Disease Type C,disease,disease,disease_disease,39706535,C5681332,in_kg,neurometabolic disease,,neurometabolic disease
87,glycolysis,NPC1,biological_process,protein/gene,bioprocess_protein,39706535,in_kg,in_kg,,,
88,pentose phosphate pathway,NPC1,biological_process,protein/gene,bioprocess_protein,39706535,in_kg,in_kg,,,
100,benzimidazole,β-cyclodextrin,drug,drug,drug_drug,34748340,in_kg,C0046237,,,
105,2-Hydroxypropyl-β-cyclodextrin,Niemann-Pick Disease Type C,drug,disease,indication,38763706,C0046237,in_kg,,,
116,2-hydroxypropyl-β-cyclodextrin,Niemann-Pick Disease Type C,drug,disease,indication,36116252,C0046237,in_kg,,,
117,Niemann-Pick Disease Type C,neurodegeneration,disease,phenotype,disease_phenotype_positive,36116252,in_kg,in_kg,,,
118,Niemann-Pick Disease Type C,hepatosplenomegaly,disease,phenotype,disease_phenotype_positive,36116252,in_kg,in_kg,,,
137,Bleomycin,pulmonary fibrosis,exposure,disease,exposure_disease,36804125,in_kg,in_kg,,,
146,renal fibrosis,NPC1,phenotype,protein/gene,phenotype_protein,38087834,in_kg,in_kg,,,
147,kidneys,NPC1,anatomy,protein/gene,anatomy_protein_present,38087834,C0022646|C0227665,in_kg,kidney,,kidney
148,Apoptosis,NPC1,biological_process,protein/gene, bioprocess_protein,38087834,in_kg,in_kg,,,
150,vacuoles,NPC1,cellular_component,protein/gene,cellcomp_protein,38087834,C0042219,in_kg,,,
152,NPC1,NPC2,protein/gene,protein/gene,protein_protein,38087834,in_kg,in_kg,,,
165,cholesterol accumulation,NPC1,phenotype,protein/gene,phenotype_protein,38087834,C5436605,in_kg,,,
167,Neuronal loss,NPC1,phenotype,protein/gene,phenotype_protein,38087834,C1849485|C1850496,in_kg,Neuronal loss in the cerebral cortex,,Neuronal loss in the cerebral cortex
168,weight loss,NPC1,phenotype,protein/gene,phenotype_protein,38087834,in_kg,in_kg,,,
171,vacuoles,NPC1,phenotype,protein/gene,phenotype_protein,38087834,C0042219,in_kg,,,
172,NPC1,NPC2,protein/gene,protein/gene,protein_protein,38087834,in_kg,in_kg,,,
178,brain lesions,NPC1,phenotype,protein/gene,phenotype_protein,38087834,C0221505,in_kg,,,
179,death,NPC1,phenotype,protein/gene,phenotype_protein,38087834,C1306577,in_kg,,,
183,Miglustat,unesterified cholesterol accumulation,drug,phenotype,drug_effect,40436106,in_kg,C3553603|C5937001,,Unesterified cholesterol accumulation in cultured fibroblasts,Unesterified cholesterol accumulation in cultured fibroblasts
185,Niemann-Pick Disease Type C,NPC1,disease,protein/gene,disease_protein,40436106,in_kg,in_kg,,,
186,Niemann-Pick Disease Type C,NPC2,disease,protein/gene,disease_protein,40436106,in_kg,in_kg,,,
187,NPC1,NPC2,protein/gene,protein/gene,protein_protein,40436106,in_kg,in_kg,,,
189,Niemann-Pick Disease Type C,neuronal degeneration,disease,phenotype,disease_phenotype_positive,40436106,in_kg,C3670500,,,
190,Niemann-Pick Disease Type C,dystonia,disease,phenotype,disease_phenotype_positive,40436106,in_kg,in_kg,,,
191,Niemann-Pick Disease Type C,dysphagia,disease,phenotype,disease_phenotype_positive,40436106,in_kg,in_kg,,,
192,Niemann-Pick Disease Type C,cerebellar ataxia,disease,phenotype,disease_phenotype_positive,40436106,in_kg,C0007758|C0393525,,Progressive cerebellar ataxia,Progressive cerebellar ataxia
193,neuronal loss,NPC1,phenotype,protein/gene,phenotype_protein,40436106,C1849485|C1850496,in_kg,Neuronal loss in the cerebral cortex,,Neuronal loss in the cerebral cortex
194,motor deficits,NPC1,phenotype,protein/gene,phenotype_protein,40436106,C4025360|C5979810,in_kg,Functional motor deficit,,Functional motor deficit
196,Miglustat,neurological dysfunction,drug,phenotype,drug_effect,40436106,in_kg,C1709219|C4024908,,Rapid neurologic deterioration,Rapid neurologic deterioration
197,Miglustat,prolong survival,drug,phenotype,drug_effect,40436106,in_kg,C5139371,,Preimplantation lethality,Preimplantation lethality
200,Miglustat,Niemann-Pick disease type C,drug,disease,indication,40436106,in_kg,in_kg,,,
203,fatal neurodegenerative disease,Niemann-Pick Disease Type C,disease,disease,disease_disease,40215728,C4751597,in_kg,fatal post-viral neurodegenerative disorder,,fatal post-viral neurodegenerative disorder
207,Arimoclomol,Niemann-Pick disease type C,drug,disease,indication,40215728,in_kg,in_kg,,,
208,Miglustat,Niemann-Pick disease type C,drug,disease,indication,40215728,in_kg,in_kg,,,
209,Arimoclomol,miglustat,drug,drug,drug_drug,40215728,in_kg,in_kg,,,
214,Arimoclomol,autophagy,drug,biological_process,drug_bioprocess,40215728,in_kg,in_kg,,,
216,Niemann-Pick Disease Type C,NPC1,disease,protein/gene,disease_protein,40215728,in_kg,in_kg,,,
217,Niemann-Pick Disease Type C,NPC2,disease,protein/gene,disease_protein,40215728,in_kg,in_kg,,,
218,lysosomal,NPC1,cellular_component,protein/gene,cellcomp_protein,40215728,C0521450,in_kg,,,
219,intracellular transport,NPC1,biological_process,protein/gene,bioprocess_protein,40215728,in_kg,in_kg,,,
220,metabolism of lipids,NPC1,biological_process,protein/gene,bioprocess_protein,40215728,in_kg,in_kg,,,
221,intracellular transport,NPC2,biological_process,protein/gene,bioprocess_protein,40215728,in_kg,in_kg,,,
222,metabolism of lipids,NPC2,biological_process,protein/gene,bioprocess_protein,40215728,in_kg,in_kg,,,
223,accumulation of unesterified cholesterol,NPC1,phenotype,protein/gene,phenotype_protein,40215728,C3553603|C5937001,in_kg,Unesterified cholesterol accumulation in cultured fibroblasts,,Unesterified cholesterol accumulation in cultured fibroblasts
226,Arimoclomol,NPC1,drug,protein/gene,drug_protein,40215728,in_kg,in_kg,,,
227,Niemann-Pick Disease Type C,accumulation of unesterified cholesterol,disease,phenotype,disease_phenotype_positive,40215728,in_kg,C3553603|C5937001,,Unesterified cholesterol accumulation in cultured fibroblasts,Unesterified cholesterol accumulation in cultured fibroblasts
229,NPC1,cholesterol accumulation,protein/gene,phenotype,phenotype_protein,40215728,in_kg,C5436605,,,
243,neurodegenerative disease,Niemann-Pick Disease Type C,disease,disease,disease_disease,37683773,C0524851,in_kg,,,
249,Niemann-Pick disease type C,NPC1,disease,protein/gene,disease_protein,40107109,in_kg,in_kg,,,
252,Niemann-Pick disease type C,Neurodegenerative diseases,disease,disease,disease_disease,40107109,in_kg,in_kg,,,
265,cholesterol,growth,exposure,phenotype,exposure_phenotype,35245460,in_kg,in_kg,,,
269,cholesterol,early maturation,exposure,phenotype,exposure_phenotype,35245460,in_kg,C4022392,,,
274,oxysterols,Niemann-Pick disease type C,biological_process,disease,bioprocess_disease,41274250,C4277571,in_kg,,,
276,Niemann-Pick disease type C,Lysosomal storage disorder,disease,disease,disease_disease,41274250,in_kg,C0085078,,lysosomal storage disease,lysosomal storage disease
278,Cholesterol trafficking,NPC1,biological_process,protein/gene,bioprocess_protein,41274250,C5960876,in_kg,,,
279,Cholesterol trafficking,NPC2,biological_process,protein/gene,bioprocess_protein,41274250,C5960876,in_kg,,,
283,neurodegenerative lysosomal storage disorder,Niemann-Pick disease type C,disease,disease,disease_disease,40306479,C0085078,in_kg,lysosomal storage disease,,lysosomal storage disease
291,elevated myristic acid,NPC1,phenotype,protein/gene,phenotype_protein,40306479,C4703649,in_kg,Increased level of myristic acid in serum,,Increased level of myristic acid in serum
292,Niemann-Pick disease type C,NPC2,disease,protein/gene,disease_protein,40306479,in_kg,in_kg,,,
293,Niemann-Pick disease type C,NPC1,disease,protein/gene,disease_protein,40306479,in_kg,in_kg,,,
294,intracellular transport,NPC1,biological_process,protein/gene, bioprocess_protein,40306479,in_kg,in_kg,,,
296,autophagy,NPC1,biological_process,protein/gene, bioprocess_protein,40306479,in_kg,in_kg,,,
297,Niemann-Pick disease type C,neurological impairments,disease,phenotype,disease_phenotype_positive,40306479,in_kg,C0521654,,,
303,Niemann-Pick Disease Type C,motor decline,disease,phenotype,disease_phenotype_positive,40306479,in_kg,C1866284,,Motor deterioration,Motor deterioration
