Drug_name,Disease_name
Ursodiol,Cholestasis
Valproic Acid,Epilepsy
Valsartan,Essential Hypertension
Valsartan,Metabolic Syndrome x
Vancomycin,Bacteremia
Vancomycin,Pneumonia
Varenicline,Nicotine Dependence
Varenicline,Tobacco Dependence
Venlafaxine,Major Depressive Disorder
Venlafaxine,Mental Depression
Venlafaxine,Severe Depression
Verteporfin,Age-Related Macular Degeneration
Vilazodone,Major Depressive Disorder
Vincristine Sulfate,L2 Acute Lymphoblastic Leukemia
Vincristine,L2 Acute Lymphoblastic Leukemia
Voriconazole,Aspergillosis
Voriconazole,Candidiasis
Vortioxetine,Major Depressive Disorder
Warfarin,Deep Vein Thrombosis
Warfarin,Pulmonary Embolism
Warfarin,Transient Ischemic Attack
Ziprasidone,"Depression, Bipolar"
Ziprasidone,Schizoaffective Disorder
Ziprasidone,Schizophrenia
Zoledronic Acid,Multiple Myeloma
Zoledronic Acid,Non-Small Cell Lung Carcinoma
Zoledronic Acid,Osteopenia
Zoledronic Acid,Osteoporosis
Zoledronic Acid,"Osteoporosis, Postmenopausal"
Zolmitriptan,Common Migraine
Zolpidem,Sleep Initiation and Maintenance Disorders
Zonisamide,Epilepsy
Zopiclone,Primary Insomnia
