,entity_name,original_entity_types,PMID,relation,entity_side
576,dysfunctionality of the blood-cerebrospinal fluid barrier,,,,
578,dystonia presentations,phenotype,35853348,disease_phenotype_positive|phenotype_phenotype,2
579,dystonic movement disorders,,,,
581,earlier age of neurological onset,phenotype,38673803,phenotype_protein,1
582,earlier npc1 disease onset,,,,
583,early cholestatic disease,disease,34138521,disease_disease,2
589,early neurodevelopmental disturbance,phenotype,37612148,disease_phenotype_positive,2
593,egress of free cholesterol from lysosomes,biological_process,35653304,bioprocess_bioprocess,2
597,elevated 7-ketocholesterol,anatomy,36325261,disease_phenotype_positive,2
598,elevated afp levels,,,,
603,elevated cholesterol on lysosome membranes,phenotype,34085599,disease_phenotype_positive,2
604,elevated damage associated molecular patterns (damps),,,,
605,elevated daytime sleepiness,,,,
606,elevated glutamatergic transmission,phenotype,37815467,phenotype_protein,2
608,elevated levels of free pro-resolving fatty acid epoxides,phenotype,40306479,phenotype_protein,1
609,elevated levels of iron,phenotype,40243519,disease_phenotype_positive,2
610,elevated levels of lipid peroxidation,phenotype,40243519,disease_phenotype_positive,2
611,elevated levels of reactive oxygen species,phenotype,38550777,phenotype_protein,2
614,elevated lysosphingomyelin 509,phenotype,35892469,disease_phenotype_positive,2
616,elevated myristic,phenotype,40306479,phenotype_protein,1
617,elevated myristic acid,phenotype,40306479,phenotype_protein,1
618,elevated n-palmitoyl-o-phosphocholineserine,,,,
619,elevated neurotransmission,phenotype,37815467,drug_effect|phenotype_phenotype,2
620,elevated oxysterols,anatomy | phenotype,36325261,disease_phenotype_positive|phenotype_protein,1|2
621,elevated palmitoleic acid,phenotype,40306479,phenotype_protein,1
622,elevated plasma oxysterols,phenotype,36719165,disease_phenotype_positive,2
623,elevation of alkyl-lysophosphatidylcholine species,phenotype,39048052,disease_phenotype_positive,2
624,elevations in glucosylceramide isoforms,phenotype,37373322,disease_phenotype_positive,2
625,elevations in mitochondrial caltrium,phenotype,37507375,phenotype_phenotype,1
626,eleveted neurofilament light chain levels,,,,
629,endo-lysosomal network,cellular_component,40026274,cellcomp_protein,1|2
630,endo-lysosomal trafficking pathway,pathway,39747180,pathway_protein,1
631,endo-lysosomes,cellular_component,38599016,phenotype_cellcomp,2
633,endolysosomal accumulation of the lipid,phenotype,39443481,disease_phenotype_positive,2
634,endolysosomal accumulation of unesterified cholesterol,pathology,36064725,disease_phenotype_positive,2
635,endolysosomal comparment,cellular_component,38142760,phenotype_cellcomp,2
636,endolysosomal compartment,cellular_component,35452076|38087834,cellcomp_protein,1
637,endolysosomal storage of unesterified cholesterol,phenotype,34802899|40525490,disease_phenotype_positive,2
638,endolysosomal transmembrane,cellular_component,37047194,cellcomp_disease,1
639,endoplasmic reticulum ca++ release channels,,,,
641,endosomal transportautophagy abnormalities,phenotype,40003936,disease_phenotype_positive,2
642,endosomal-lysosomal system,,,,
644,engulf mitochondria in autophagosomes,biological_process,35159316,drug_bioprocess,2
646,enhance calcium entry,phenotype,37507375,pathology_phenotype,2
647,enhanced autophagy-dependent ferritinophagy,,,,
648,enhanced bace1-mediated proteolysis,,,,
649,enhanced ca2+ signaling,,,,
650,enhanced mglur-dependent long-term depression (mglur-ltd),,,,
651,enhanced phagocytosis,,,,
652,enhanced the onset of the neurological phenotype,phenotype,37369603,phenotype_phenotype,1
653,enhanced the survival of purkinje cells,,,,
