,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
1028,inflammatory pathways,pathway,inflammatory pathways,Cholinergic Anti-inflammatory Pathway,C5200819,['T023'],"['Body Part, Organ, or Organ Component']",34810067,disease_pathway,2
1029,ingestion of lipid vesicles into vacuoles,,ingestion of lipid vesicles into vacuoles,,,[],[],,,
1030,inherited,phenotype,inherited,Hereditary,C0439660,['T169'],['Functional Concept'],35452076,disease_phenotype_positive,2
1031,inherited autosomal-recessive endolysosomal storage disease,disease,inherited autosomal-recessive endolysosomal storage disease,,,[],[],36614015,disease_disease,1
1032,inherited neurovisceral genetic disorder,phenotype,inherited neurovisceral genetic disorder,,,[],[],37458497,disease_phenotype_positive,2
1033,inhibitory activity towards ent1,,inhibitory activity towards ent1,,,[],[],,,
1034,inhibits tumor growth,phenotype,inhibits tumor growth,"brain-derived carcinostatic factor, mouse",C0631917,['T116'],"['Amino Acid, Peptide, or Protein']",41013744,drug_effect,2
1035,initial psychopharmacology,phenotype,initial psychopharmacology,,,[],[],34744838,disease_phenotype_positive,2
1036,injured livers,anatomy,injured livers,,,[],[],39547438,anatomy_protein_present,1
1037,innate immunity,biological_process,innate immunity,"Immunity, Innate",C0020969,['T032'],['Organism Attribute'],38253667,bioprocess_protein,2
1038,insulin signaling,biological_process,insulin signaling,Insulin Signaling Pathway,C1512804,['T044'],['Molecular Function'],35245460,bioprocess_protein|exposure_bioprocess,2
1039,insulin-like growth factor 2 receptor,protein/gene,insulin-like growth factor 2 receptor,IGF2R gene,C1334090,['T028'],['Gene or Genome'],34851695,anatomy_protein_present|protein_protein,2
1040,insulin-like peptides,biological_process,insulin-like peptides,Insulin-Like Peptides,C5828367,"['T116', 'T123']","['Amino Acid, Peptide, or Protein', 'Biologically Active Substance']",35245460,bioprocess_protein,2
1041,intellectual impairment,phenotype,intellectual impairment,Intellectual impairment,C0683322,['T048'],['Mental or Behavioral Dysfunction'],37008782,disease_phenotype_positive,2
1042,intensive blinking,phenotype,intensive blinking,,,[],[],34086834,disease_phenotype_positive,2
1043,internal organs,,internal organs,deficiencies of internal organs,C2243098,['T047'],['Disease or Syndrome'],,,
1044,internalization,biological_process,internalization,internalization,C0871786,['T041'],['Mental Process'],36431844,drug_bioprocess,2
1045,interneurons,,interneurons,Interneurons,C0021792,['T025'],['Cell'],,,
1046,intestines,anatomy,intestines,Intestines,C0021853,['T023'],"['Body Part, Organ, or Organ Component']",34061502,anatomy_disease,1
1047,intolerance of psychopharmacological drugs,phenotype,intolerance of psychopharmacological drugs,,,[],[],34744838,disease_phenotype_positive,2
1048,intracellular accumulation of mglur5,,intracellular accumulation of mglur5,,,[],[],,,
1049,intracellular accumulation of non-esterified cholesterol,phenotype,intracellular accumulation of non-esterified cholesterol,,,[],[],35487270,disease_phenotype_positive,2
1050,intracellular accumulation of other lipids,phenotype,intracellular accumulation of other lipids,,,[],[],35487270,disease_phenotype_positive,2
1051,intracellular accumulation of unesterified cholesterol,phenotype,intracellular accumulation of unesterified cholesterol,Intracellular accumulation of unesterified cholesterol,C3553603,['T033'],['Finding'],39689839,disease_phenotype_positive,2
1052,intracellular cholesterol,cellular_component,intracellular cholesterol,intracellular cholesterol transport,C1819279,['T043'],['Cell Function'],34830064,cellcomp_cellcomp,1
1053,intracellular cholesterol defect,phenotype,intracellular cholesterol defect,,,[],[],36322609,phenotype_anatomy|phenotype_phenotype,1|2
1054,intracellular cholesterol trafficking,biological_process | pathway | phenotype,intracellular cholesterol trafficking,,,[],[],36116252|37602789|38183651|39706535|40107109|40847051,anatomy_protein_absent|bioprocess_protein|drug_effect|pathway_protein,1|2
1055,intracellular cholesterol transport inhibitor,drug,intracellular cholesterol transport inhibitor,,,[],[],39340823,drug_effect|indication,1
1056,intracellular lipid storage,phenotype,intracellular lipid storage,,,[],[],36614015,disease_phenotype_positive,2
1057,intracellular mobilization of water-insoluble molecules,biological_process,intracellular mobilization of water-insoluble molecules,,,[],[],34879185,bioprocess_protein,2
1058,intracellular neutral lipids,lipid,intracellular neutral lipids,,,[],[],40301465,anatomy_protein_present,2
1059,intracellular sphingolipid transport,biological_process,intracellular sphingolipid transport,,,[],[],37423302,bioprocess_protein,2
1060,intracellular trafficking of cholesterol,biological_process,intracellular trafficking of cholesterol,,,[],[],37245481,bioprocess_protein,2
1061,intramitochondrial cholesterol trafficking,biological_process,intramitochondrial cholesterol trafficking,,,[],[],34175669,bioprocess_protein,2
1062,intrathecal 2-hydroxypropyl-β-cyclodextrin,drug,intrathecal 2-hydroxypropyl-β-cyclodextrin,,,[],[],39688135,drug_effect,1
1063,ip3r type 1,,ip3r type 1,"inositol 1,4,5-trisphosphate receptor type 1",C1617580,"['T116', 'T192']","['Amino Acid, Peptide, or Protein', 'Receptor']",,,
1064,ip3r1,,ip3r1,ITPR1 gene,C1334148,['T028'],['Gene or Genome'],,,
1065,iron deposition,pathology,iron deposition,Deposition of iron,C0333596,['T046'],['Pathologic Function'],37348967,pathology_anatomy_present,1
1066,iron deprivation,,iron deprivation,,,[],[],,,
1067,iron disorder,,iron disorder,Iron Metabolism Disorders,C0012715,['T047'],['Disease or Syndrome'],,,
1068,iron homeostasis dysregulation,,iron homeostasis dysregulation,,,[],[],,,
1069,iron overload,phenotype,iron overload,Iron Overload,C0282193,['T047'],['Disease or Syndrome'],37047194,phenotype_phenotype|phenotype_protein,1|2
1070,isogenic induced pluripotent stem cells,anatomy,isogenic induced pluripotent stem cells,,,[],[],36301667,anatomy_protein_present,1
1071,juvenile onset form niemann-pick disease type c,,juvenile onset form niemann-pick disease type c,,,[],[],,,
1072,k604,,k604,K-604,C4276581,['T109'],['Organic Chemical'],,,
1073,keap1− nrf2 axis,,keap1− nrf2 axis,,,[],[],,,
1074,kernel width,phenotype,kernel width,Kernel Bandwidth,C2697840,['T170'],['Intellectual Product'],35845666,phenotype_protein,2
1075,kidneys,anatomy,kidneys,Both kidneys,C0227665,['T023'],"['Body Part, Organ, or Organ Component']",35016719|38087834,anatomy_disease|anatomy_protein_present,1
1076,kinesin domain,molecular_function,kinesin domain,,,[],[],36861884,molfunc_protein,1
1077,kn-93,,kn-93,KN 93,C0124673,['T109'],['Organic Chemical'],,,
1078,krabbe,,krabbe,Globoid cell leukodystrophy,C0023521,['T047'],['Disease or Syndrome'],,,
1079,kv2,,kv2,Shab Potassium Channels,C1566224,"['T116', 'T123']","['Amino Acid, Peptide, or Protein', 'Biologically Active Substance']",,,
1080,kv2-cav,,kv2-cav,,,[],[],,,
1081,kv2.1 channels,,kv2.1 channels,Kv2.1 Potassium Channel,C0289061,['T116'],"['Amino Acid, Peptide, or Protein']",,,
1082,lacking ncr1,,lacking ncr1,,,[],[],,,
1083,lacking npc2,,lacking npc2,,,[],[],,,
1084,lactosylceramides,phenotype,lactosylceramides,Lactosylceramides,C0022954,['T109'],['Organic Chemical'],34810067,disease_phenotype_negative,2
1085,lamellar bodies,pathology | phenotype,lamellar bodies,lamellar body,C0230698,['T026'],['Cell Component'],36325261,disease_phenotype_positive|pathology_anatomy_present,1|2
1086,language disorders,phenotype,language disorders,Language Disorders,C0023015,['T048'],['Mental or Behavioral Dysfunction'],38087834,disease_phenotype_positive,2
1087,late endosomal accumulation of unesterified cholesterol,phenotype,late endosomal accumulation of unesterified cholesterol,,,[],[],39048052,disease_phenotype_positive,2
1088,late endosome cholesterol accumulation,phenotype,late endosome cholesterol accumulation,,,[],[],36823305,cellcomp_protein|disease_phenotype_positive,1|2
1089,late endosome cholesterol transport,phenotype,late endosome cholesterol transport,,,[],[],36861884,disease_phenotype_negative,2
1090,late endosome morphology,phenotype,late endosome morphology,,,[],[],36823305,phenotype_protein,1
1091,late endosome tubulation,biological_process | phenotype,late endosome tubulation,,,[],[],36861884,bioprocess_protein|disease_phenotype_negative,1|2
1092,late endosomes,cellular_component,late endosomes,late endosome,C1166848,['T026'],['Cell Component'],34455703|36861884,cellcomp_bioprocess|phenotype_cellcomp,1|2
1093,late endosomes -lysosomes,cellular_component,late endosomes -lysosomes,late endosome-lysosome fusion,C5907375,['T043'],['Cell Function'],38183651,phenotype_anatomy,2
1094,late infantile onset,phenotype,late infantile onset,Cryptogenic late-onset epileptic spasms,C4755310,['T047'],['Disease or Syndrome'],36243834,disease_phenotype_positive,2
1095,late lysosomal and endosomal compartments,cellular_component,late lysosomal and endosomal compartments,,,[],[],34418116,cellcomp_protein,1
1096,late-endosomes,cellular_component,late-endosomes,late endosome,C1166848,['T026'],['Cell Component'],38254990,cellcomp_protein,1
1097,lateral trajectory of the eyes,phenotype,lateral trajectory of the eyes,,,[],[],34086834,disease_phenotype_positive,2
1098,ldl-mediated cholesterol uptake,,ldl-mediated cholesterol uptake,,,[],[],,,
1099,learning and memory,phenotype,learning and memory,learning and/or memory,C1154338,['T041'],['Mental Process'],37999680,phenotype_phenotype,2
1100,left frontotemporal networks,anatomy,left frontotemporal networks,,,[],[],41277897,anatomy_disease,1
1101,lethal,phenotype,lethal,"Granuloma, Lethal Midline",C0018197,['T191'],['Neoplastic Process'],36614015,disease_phenotype_positive,2
1102,lethal genetic disease,disease,lethal genetic disease,,,[],[],39102515,disease_disease,1
1103,levacetylleucine,,levacetylleucine,levacetylleucine,C4547971,"['T116', 'T121']","['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance']",,,
1104,level of p-stat3,,level of p-stat3,,,[],[],,,
1105,lgals3-positive leaky lysosomes,,lgals3-positive leaky lysosomes,,,[],[],,,
1106,lifespan,phenotype,lifespan,Longevity,C0023980,['T079'],['Temporal Concept'],38895439|38895471,drug_effect|phenotype_protein,2
1107,limp2,,limp2,SCARB2 gene,C1413219,['T028'],['Gene or Genome'],,,
1108,lipid accumulation,phenotype,lipid accumulation,Lipid Accumulation Product,C3658347,['T081'],['Quantitative Concept'],34944681|35081253,disease_phenotype_positive|phenotype_protein,1|2
1109,lipid accumulation in late endosomes,phenotype,lipid accumulation in late endosomes,,,[],[],34720883,disease_phenotype_positive,2
1110,lipid accumulation in lysosomes,phenotype,lipid accumulation in lysosomes,,,[],[],34720883,disease_phenotype_positive,2
1111,lipid biosynthesis,biological_process | pathway,lipid biosynthesis,Lipogenesis,C1563744,['T040'],['Organism Function'],34296265|40972529,bioprocess_protein|drug_bioprocess|pathway_protein,1|2
1112,lipid burden,phenotype,lipid burden,,,[],[],40215728,drug_effect,2
1113,lipid catabolism,,lipid catabolism,Lipolysis,C0023796,['T040'],['Organism Function'],,,
1114,lipid clearance,phenotype,lipid clearance,,,[],[],35081253,drug_effect,2
1115,lipid dysregulation,phenotype,lipid dysregulation,,,[],[],39202426,disease_phenotype_positive,2
1116,lipid inclusions,phenotype,lipid inclusions,Lipid inclusions in lymphocytes,C4231253,['T033'],['Finding'],40869913,disease_phenotype_positive,2
1117,lipid metabolism,pathway,lipid metabolism,Lipid Metabolism,C0598783,['T044'],['Molecular Function'],34440927,pathway_protein,1
1118,lipid metabolism disorders,phenotype,lipid metabolism disorders,Lipid Metabolism Disorders,C0154251,['T047'],['Disease or Syndrome'],38087834,phenotype_protein,1
1119,lipid peroxidation,phenotype,lipid peroxidation,Lipid Peroxidation,C0023775,['T044'],['Molecular Function'],39202426,disease_phenotype_positive,2
1120,lipid rafts,cellular_component,lipid rafts,lipid raft,C1167250,['T026'],['Cell Component'],37539272,cellcomp_protein,2
1121,lipid storage disorder,disease | phenotype,lipid storage disorder,"metabolic disorder; lipid, lipoid, storage",C1410111,['T047'],['Disease or Syndrome'],36431844|36553254|40221338|40898442,disease_disease|disease_phenotype_positive|drug_effect,2
1122,lipid trafficking,biological_process,lipid trafficking,Lipid Transport,C0596846,['T043'],['Cell Function'],36085278|39689839,bioprocess_protein,2
1123,lipid transport pathway,biological_process,lipid transport pathway,,,[],[],40257496,bioprocess_protein,2
1124,lipid uptake,biological_process,lipid uptake,lipid uptake,C5137242,['T043'],['Cell Function'],40972529,bioprocess_protein,2
1125,lipid-degrading enzymes,,lipid-degrading enzymes,,,[],[],,,
1126,lipid-laden foamy macrophages,phenotype,lipid-laden foamy macrophages,,,[],[],38826605,disease_phenotype_positive,2
1127,lipidated apoe4 particles,,lipidated apoe4 particles,,,[],[],,,
1128,lipids’ trafficking,biological_process,lipids’ trafficking,Lipid Transport,C0596846,['T043'],['Cell Function'],34879185,bioprocess_protein,2
1129,lipoid storage disease,disease,lipoid storage disease,Lipoidosis,C0023794,['T047'],['Disease or Syndrome'],36553254,disease_disease,2
1130,lipopolysaccharide,exposure,lipopolysaccharide,Lipopolysaccharides,C0023810,['T109'],['Organic Chemical'],34410604,exposure_bioprocess,1
1131,lipoxygenase,molecular_function | pathway,lipoxygenase,Lipoxygenase,C0023837,"['T116', 'T126']","['Amino Acid, Peptide, or Protein', 'Enzyme']",40306479,molfunc_molfunc|pathway_molfunc,1
1132,liver biopsy,phenotype,liver biopsy,Biopsy of liver (procedure),C0193388,['T060'],['Diagnostic Procedure'],36719165,disease_phenotype_positive,2
1133,liver damage,phenotype,liver damage,Liver damage,C0151763,['T046'],['Pathologic Function'],34440927|35694196,disease_phenotype_positive|phenotype_protein,1|2
1134,liver disease,disease | phenotype,liver disease,Liver diseases,C0023895,['T047'],['Disease or Syndrome'],35455589|36719165|38673803,disease_disease|disease_protein|phenotype_protein,1
1135,liver failure,phenotype,liver failure,Liver Failure,C0085605,['T047'],['Disease or Syndrome'],34138521,disease_phenotype_positive,2
1136,liver failure developed,phenotype,liver failure developed,,,[],[],36265573,disease_phenotype_positive,2
1137,liver fibrosis,phenotype,liver fibrosis,"Fibrosis, Liver",C0239946,['T047'],['Disease or Syndrome'],34440927|39547438,anatomy_protein_present|disease_phenotype_positive|phenotype_protein,1|2
1138,liver inflammation,phenotype,liver inflammation,Hepatitis,C0019158,['T047'],['Disease or Syndrome'],39547438,phenotype_protein,2
1139,liver injury,phenotype,liver injury,Injury of liver,C0160390,['T037'],['Injury or Poisoning'],39547438,bioprocess_protein,2
1140,liver protection drugs,drug,liver protection drugs,,,[],[],35360843,indication,1
1141,liver steatosis,phenotype,liver steatosis,Fatty Liver,C0015695,['T047'],['Disease or Syndrome'],34440927,disease_phenotype_positive|phenotype_protein,1|2
1142,liver transplantation (,phenotype,liver transplantation (,Transplantation of liver,C0023911,['T061'],['Therapeutic or Preventive Procedure'],37429811,disease_phenotype_positive,2
1143,liver x receptor β,,liver x receptor β,,,[],[],,,
1144,liver−spleen region,anatomy,liver−spleen region,,,[],[],34061502,anatomy_disease,1
1145,living donor liver transplantation,exposure,living donor liver transplantation,Living donor liver transplant,C3544287,['T061'],['Therapeutic or Preventive Procedure'],37429811,exposure_bioprocess|pathology_phenotype,1|2
1146,lncrna h19,,lncrna h19,MIR503HG gene,C3810883,['T028'],['Gene or Genome'],,,
1147,lo microdomain formation,,lo microdomain formation,,,[],[],,,
1148,long-chain fatty acids,phenotype,long-chain fatty acids,Very long chain fatty acids measurement,C0443566,['T059'],['Laboratory Procedure'],36182715,phenotype_protein,1
1149,long-term congenital immunodeficiencies,disease,long-term congenital immunodeficiencies,,,[],[],35081253,disease_disease,2
1150,loose cell bodies,phenotype,loose cell bodies,,,[],[],38087834,phenotype_protein,1
1151,loss in neuronal signaling capacity,phenotype,loss in neuronal signaling capacity,,,[],[],39340823,drug_effect,2
1152,loss of cerebellar purkinje cells,,loss of cerebellar purkinje cells,Loss of cerebellar Purkinje cells,C3281224,['T033'],['Finding'],,,
1153,loss of developmental milestones,phenotype,loss of developmental milestones,Loss of developmental milestones,C1836550,['T033'],['Finding'],34455703,disease_phenotype_positive,2
1154,loss of enjoyment in activities,phenotype,loss of enjoyment in activities,Loss of interest in previously enjoyable activity,C1562291,['T033'],['Finding'],34819124,disease_phenotype_positive,2
1155,loss of lipid rafts,phenotype,loss of lipid rafts,,,[],[],37539272,phenotype_protein,2
1156,loss of mental and physical abilities,phenotype,loss of mental and physical abilities,,,[],[],35016719,disease_phenotype_positive,2
1157,loss of motor function,phenotype,loss of motor function,Loss of motor functions,C1864672,['T033'],['Finding'],40663813,disease_phenotype_positive,2
1158,"loss of motor function, swallowing, and speech",,"loss of motor function, swallowing, and speech",,,[],[],,,
1159,loss of ncr1,,loss of ncr1,,,[],[],,,
1160,loss of npc activity,,loss of npc activity,,,[],[],,,
1161,loss of psychomotor acquisitions,phenotype,loss of psychomotor acquisitions,,,[],[],37480097,disease_phenotype_positive,2
1162,loss of purkinje cells,,loss of purkinje cells,Loss of Purkinje cells,C3278116,['T033'],['Finding'],,,
1163,loss of purkinje neurons,,loss of purkinje neurons,"Neuronal loss, particularly of cerebellar Purkinje cells",C2749478,['T033'],['Finding'],,,
1164,low cerebrospinal fluid (csf) amyloid- 1-42 (a) levels,,low cerebrospinal fluid (csf) amyloid- 1-42 (a) levels,,,[],[],,,
1165,low expression tyrosinase,phenotype,low expression tyrosinase,,,[],[],37423302,phenotype_protein,1
1166,low levels of esterified cholesterols,phenotype,low levels of esterified cholesterols,,,[],[],36182715,disease_phenotype_positive,2
1167,low levels of long-chain fatty acids,phenotype,low levels of long-chain fatty acids,,,[],[],36182715,disease_phenotype_positive,2
1168,low platelet count,phenotype,low platelet count,Low Platelet Count,C5201036,['T034'],['Laboratory or Test Result'],39697013,drug_effect,2
1169,low-density lipoprotein receptor,protein/gene,low-density lipoprotein receptor,Low Density Lipoprotein Receptor,C0034821,"['T116', 'T192']","['Amino Acid, Peptide, or Protein', 'Receptor']",40972529,protein_protein,1|2
1170,low-density lipoprotein receptor-related protein 6,protein/gene,low-density lipoprotein receptor-related protein 6,"LRP6 protein, human",C1701019,"['T116', 'T192']","['Amino Acid, Peptide, or Protein', 'Receptor']",40972529,protein_protein,1|2
1171,lower body weights,phenotype,lower body weights,Lower Body Weight Machines,C2721250,['T073'],['Manufactured Object'],36614015,disease_phenotype_positive,2
1172,lower cerebral expression of genes within interferon signaling pathways,phenotype,lower cerebral expression of genes within interferon signaling pathways,,,[],[],38254990,phenotype_protein,2
1173,lower expression of mat2a,,lower expression of mat2a,,,[],[],,,
1174,lower oxidative stress,phenotype,lower oxidative stress,,,[],[],38254990,phenotype_phenotype,1
1175,lower phosphatidylcholine ratio in mitochondria,phenotype,lower phosphatidylcholine ratio in mitochondria,,,[],[],38599016,phenotype_protein,2
1176,lower phosphatidylethanolamine ratio in mitochondria,phenotype,lower phosphatidylethanolamine ratio in mitochondria,,,[],[],38599016,phenotype_protein,2
1177,lowered smooth pursuit gain,phenotype,lowered smooth pursuit gain,,,[],[],34096670,disease_phenotype_positive,2
1178,lpc o-16:0,,lpc o-16:0,,,[],[],,,
1179,lpc o-18:1,,lpc o-18:1,,,[],[],,,
1180,lpla2,,lpla2,PLA2G15 gene,C1424787,['T028'],['Gene or Genome'],,,
1181,lpla2 (lysosomal phospholipase a2),,lpla2 (lysosomal phospholipase a2),,,[],[],,,
1182,lung infiltration,phenotype,lung infiltration,Pulmonary Infiltrate,C0235896,['T033'],['Finding'],36279795,disease_phenotype_positive,2
1183,lung injury,pathology,lung injury,Lung Injury,C0273115,['T037'],['Injury or Poisoning'],36804125,drug_effect,2
1184,lungs,anatomy,lungs,Lung,C0024109,['T023'],"['Body Part, Organ, or Organ Component']",37454976|38826605|39185019,anatomy_disease,1|2
1185,ly6a,,ly6a,LY6S gene,C5780877,['T028'],['Gene or Genome'],,,
1186,lyso-sphingolipids,biological_process | phenotype,lyso-sphingolipids,,,[],[],34810067|41274250,bioprocess_disease|disease_phenotype_positive,1|2
1187,lyso-sphingomyelin,phenotype,lyso-sphingomyelin,Lyso-sphingomyelin,C5142604,"['T109', 'T123']","['Organic Chemical', 'Biologically Active Substance']",35833379,disease_phenotype_positive,2
1188,lyso-sphingomyelin 509,,lyso-sphingomyelin 509,,,[],[],,,
1189,lyso-sphingomyelin-509,protein/gene,lyso-sphingomyelin-509,,,[],[],36777709,disease_protein|protein_protein,2
1190,lysobisphosphatidic acid enrichment,,lysobisphosphatidic acid enrichment,,,[],[],,,
1191,lysomsomal storage disorder,disease,lysomsomal storage disorder,,,[],[],35081253,disease_disease,2
1192,lysosm,,lysosm,,,[],[],,,
1193,lysosm509,,lysosm509,,,[],[],,,
1194,lysosomal,cellular_component,lysosomal,lysosomal,C0521450,['T029'],['Body Location or Region'],34175669|34407999|40215728,cellcomp_protein,1|2
1195,lysosomal accessible cholesterol,phenotype,lysosomal accessible cholesterol,,,[],[],40737317,phenotype_protein,2
1196,lysosomal accumulation,phenotype,lysosomal accumulation,Glycogen accumulation in muscle fiber lysosomes,C4022567,['T033'],['Finding'],34296265,disease_phenotype_positive,2
1197,lysosomal accumulation of cholesterol,phenotype,lysosomal accumulation of cholesterol,,,[],[],34377675|34407999|40306479,disease_phenotype_positive|phenotype_phenotype|phenotype_protein,1|2
1198,lysosomal accumulation of unesterified cholesterol,phenotype,lysosomal accumulation of unesterified cholesterol,,,[],[],36777709|39048052,disease_phenotype_positive,2
1199,lysosomal acid lipase,protein/gene,lysosomal acid lipase,Lysosomal acid lipase deficiency,C5574740,['T047'],['Disease or Syndrome'],34440927,cellcomp_protein|phenotype_protein,2
1200,lysosomal biogenesis,,lysosomal biogenesis,BLOC1S4 gene,C1539116,['T028'],['Gene or Genome'],,,
1201,lysosomal bis(monoacylglycero)phosphate hydrolase,molecular_function,lysosomal bis(monoacylglycero)phosphate hydrolase,,,[],[],38895439,molfunc_protein,2
1202,lysosomal ca2+ efflux,,lysosomal ca2+ efflux,,,[],[],,,
1203,lysosomal ca2+ signalling defects,,lysosomal ca2+ signalling defects,,,[],[],,,
1204,lysosomal cholesterol accumulation,phenotype,lysosomal cholesterol accumulation,,,[],[],40107109,disease_phenotype_positive,2
1205,lysosomal cholesterol crystals solubilizer,phenotype,lysosomal cholesterol crystals solubilizer,,,[],[],34748340,drug_effect,2
1206,lysosomal cholesterol egress,biological_process,lysosomal cholesterol egress,,,[],[],40333988,bioprocess_protein,1
1207,lysosomal cholesterol handling,biological_process,lysosomal cholesterol handling,,,[],[],40565243,bioprocess_protein,2
1208,lysosomal cholesterol homeostasis,biological_process | phenotype,lysosomal cholesterol homeostasis,,,[],[],35891519|38183651|40333988,anatomy_cellcomp|bioprocess_protein,1|2
1209,lysosomal cholesterol trafficking pathway,biological_process | pathway,lysosomal cholesterol trafficking pathway,,,[],[],39339852,drug_bioprocess|pathway_protein,2
1210,lysosomal cholesterol transport,biological_process | cellular_component,lysosomal cholesterol transport,lysosome to ER cholesterol transport,C2755531,['T043'],['Cell Function'],35891519|38737295,cellcomp_bioprocess|drug_bioprocess,1|2
1211,lysosomal cholesterol transporter,biological_process | molecular_function,lysosomal cholesterol transporter,lysosome to ER cholesterol transport,C2755531,['T043'],['Cell Function'],34580197|37890669|38737295|39339852,disease_metabolite|molfunc_protein,1|2
1212,lysosomal clearance,phenotype,lysosomal clearance,phagosome-lysosome docking involved in apoptotic cell clearance,C3157016,['T043'],['Cell Function'],40427492,drug_effect,2
1213,lysosomal compartment,cellular_component,lysosomal compartment,Compartment of lysosome,C2330755,['T030'],['Body Space or Junction'],38183651,anatomy_cellcomp,2
1214,lysosomal defects,pathology,lysosomal defects,Defect in post-translational modification of lysosomal enzymes,C0342845,['T047'],['Disease or Syndrome'],38253667,pathology_phenotype,1
1215,lysosomal degradation,biological_process | pathway,lysosomal degradation,lysosomal protein catabolic process,C4235415,['T043'],['Cell Function'],34290407|36482560,bioprocess_protein|pathway_protein,2
1216,lysosomal differentially expressed proteins,cellular_component,lysosomal differentially expressed proteins,,,[],[],34440927,cellcomp_protein,1
1217,lysosomal disease,disease,lysosomal disease,Lysosomal disease,C5681329,['T047'],['Disease or Syndrome'],34810067,disease_disease,2
1218,lysosomal diseases,disease,lysosomal diseases,Lysosomal Storage Diseases,C0085078,['T047'],['Disease or Syndrome'],36301667|36638187|40565243,disease_disease|indication,1|2
1219,lysosomal disorder,disease | phenotype,lysosomal disorder,Disorder of lysosomal enzyme,C5848368,['T047'],['Disease or Syndrome'],35853348|35892469|36301667|36470574|37407594|38673803|39207850,disease_disease|disease_phenotype_positive,1|2
1220,lysosomal dysfunction,phenotype,lysosomal dysfunction,,,[],[],39518914|40215728,disease_phenotype_positive|phenotype_protein,2
1221,lysosomal enlargement,phenotype,lysosomal enlargement,Vacuolated lymphocytes,C1836855,['T033'],['Finding'],39502943,disease_phenotype_positive,2
1222,lysosomal exocytosis,,lysosomal exocytosis,Secondary lysosome undergoing exocytosis,C0230819,['T026'],['Cell Component'],,,
1223,lysosomal function,,lysosomal function,Increased Lysosomal Function,C1372391,['T043'],['Cell Function'],,,
1224,lysosomal leakage,phenotype,lysosomal leakage,,,[],[],36409725,drug_effect|phenotype_phenotype,1|2
1225,lysosomal lipid accumulation,phenotype,lysosomal lipid accumulation,,,[],[],35408815|36325261|39789920|40257496,disease_phenotype_positive,2
1226,lysosomal lipid storage,disease,lysosomal lipid storage,,,[],[],36455410|38087834,disease_disease,1|2
1227,lysosomal lipid storage disease,disease,lysosomal lipid storage disease,,,[],[],37480097,disease_disease,2
1228,lysosomal membrane permeabilization,biological_process | phenotype,lysosomal membrane permeabilization,,,[],[],36409725,drug_bioprocess|phenotype_phenotype,1|2
1229,lysosomal protein trafficking,phenotype,lysosomal protein trafficking,"LYST protein, human",C0893370,"['T116', 'T123']","['Amino Acid, Peptide, or Protein', 'Biologically Active Substance']",34851695,phenotype_protein,1
1230,lysosomal storage,phenotype,lysosomal storage,Lysosomal Storage Diseases,C0085078,['T047'],['Disease or Syndrome'],36455410|38826605,disease_phenotype_positive,2
1231,lysosomal storage defects,disease,lysosomal storage defects,,,[],[],35016719,disease_phenotype_positive,1
1232,lysosomal storage diseases,disease,lysosomal storage diseases,Lysosomal Storage Diseases,C0085078,['T047'],['Disease or Syndrome'],34851695|35360843|40869913,disease_disease|disease_phenotype_positive,1|2
1233,lysosomal storage disorder,disease | phenotype,lysosomal storage disorder,Lysosomal Storage Diseases,C0085078,['T047'],['Disease or Syndrome'],34138521|34150357|34175669|34440927|34526163|34993563|36265573|36823305|36920149|37032242|37371089|37373322|37423302|38294974|38533577|38599016|38804481|38821960|39185019|39518914|39557950|39959107|40701909|40866990|40898442|41277897,disease_disease|disease_phenotype_positive|phenotype_phenotype,1|2
1234,lysosomal storage disorders,disease,lysosomal storage disorders,Lysosomal storage disorders suspected,C2964199,['T033'],['Finding'],35140266|36265126|36777709|38549495|40333988,disease_disease|disease_phenotype_positive|indication,1|2
1235,lysosomal storage of lipids,,lysosomal storage of lipids,,,[],[],,,
1236,lysosomal-associated membrane protein 2,,lysosomal-associated membrane protein 2,Lysosomal-Associated Membrane Protein 2,C0125272,"['T116', 'T129']","['Amino Acid, Peptide, or Protein', 'Immunologic Factor']",,,
1237,lysosome abundance,phenotype,lysosome abundance,,,[],[],38183651,phenotype_protein,1
1238,lysosome cholesterol accumulation,phenotype,lysosome cholesterol accumulation,,,[],[],36823305,disease_phenotype_positive|phenotype_protein,1|2
1239,lysosome cholesterol transport,phenotype,lysosome cholesterol transport,lysosome to ER cholesterol transport,C2755531,['T043'],['Cell Function'],36861884,disease_phenotype_negative,2
1240,lysosome disease,,lysosome disease,Lysosomal Storage Diseases,C0085078,['T047'],['Disease or Syndrome'],,,
1241,lysosome dysfunction,phenotype,lysosome dysfunction,,,[],[],34851695,anatomy_disease|disease_phenotype_positive,2
1242,lysosome limiting membrane,cellular_component,lysosome limiting membrane,,,[],[],37423302,cellcomp_protein,2
1243,lysosome membrane,cellular_component,lysosome membrane,Membrane of lysosome,C0230812,['T026'],['Cell Component'],34085599,phenotype_cellcomp,2
1244,lysosome morphology,phenotype,lysosome morphology,Abnormal lysosomal morphology,C4531183,['T190'],['Anatomical Abnormality'],36823305,phenotype_protein,1
