,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
520,defective cholesterol trafficking,biological_process,defective cholesterol trafficking,,,[],[],38549495,bioprocess_protein|cellcomp_bioprocess,1|2
521,defective fusion of autophagosomes,phenotype,defective fusion of autophagosomes,,,[],[],35159316,phenotype_phenotype,1
522,defective fusion of lysosomes,phenotype,defective fusion of lysosomes,,,[],[],35159316,phenotype_phenotype,1
523,defective lysosomal cholesterol efflux,phenotype,defective lysosomal cholesterol efflux,,,[],[],36409725,disease_phenotype_positive,2
524,defective mitochondria,,defective mitochondria,Hypermetabolism due to Defect in Mitochondria,C1855926,['T047'],['Disease or Syndrome'],,,
525,defective mitophagy induction,phenotype,defective mitophagy induction,,,[],[],35159316,drug_effect|phenotype_protein,2
526,defective platelet aggregation,,defective platelet aggregation,Impaired platelet aggregation,C1855853,['T033'],['Finding'],,,
527,defective platelet secretion,,defective platelet secretion,Platelet dense granule secretion defects,C4539621,['T033'],['Finding'],,,
528,defective trafficking of cholesterol,,defective trafficking of cholesterol,,,[],[],,,
529,defectived in cholesterol transport,,defectived in cholesterol transport,,,[],[],,,
530,deficient in mgat5,,deficient in mgat5,,,[],[],,,
531,degenerative ataxia,disease,degenerative ataxia,Non-hereditary degenerative ataxia,C5680697,['T047'],['Disease or Syndrome'],38868844,disease_pathology|disease_phenotype_positive,1
532,degradation of lipid droplets,phenotype,degradation of lipid droplets,,,[],[],37908116,phenotype_phenotype,2
533,degradative pathways,pathway,degradative pathways,Degradation Pathway,C1511758,['T077'],['Conceptual Entity'],35159316,pathway_pathway,1
534,delay the onset of purkinje neuron death,,delay the onset of purkinje neuron death,,,[],[],,,
535,delayed onset of interferon signaling,phenotype,delayed onset of interferon signaling,,,[],[],38254990,phenotype_phenotype,1
536,delayed psychomotor development,phenotype,delayed psychomotor development,Delayed delayed psychomotor development,C4540485,['T033'],['Finding'],36553254,disease_phenotype_positive,2
537,delayed the onset of motor impairment,phenotype,delayed the onset of motor impairment,,,[],[],35507892,phenotype_protein,1
538,delayed the onset of weight loss,phenotype,delayed the onset of weight loss,,,[],[],35507892,phenotype_protein,1
539,deleted trem2,,deleted trem2,,,[],[],,,
540,dementia developed,phenotype,dementia developed,A subset of patients develop frontotemporal dementia,C3278182,['T033'],['Finding'],35696615,disease_phenotype_positive,2
541,demyelination,phenotype,demyelination,Demyelination,C0011304,['T046'],['Pathologic Function'],36608914,pathology_phenotype,2
542,dentate gyrus regions,,dentate gyrus regions,,,[],[],,,
543,depletion borc-arl8-hops,,depletion borc-arl8-hops,,,[],[],,,
544,depletion homotypic fusion and protein sorting,,depletion homotypic fusion and protein sorting,,,[],[],,,
