,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
241,microglial,Itgb2,anatomy,protein/gene,anatomy_protein_present,34749772,C0521398,in_kg,,,
242,microglial,Itgax,anatomy,protein/gene,anatomy_protein_present,34749772,C0521398,in_kg,,,
253,SPG11,gait disturbance,disease,phenotype,disease_phenotype_positive,35605667,in_kg,in_kg,,,
254,neuronal ceroid lipofuscinoses,hereditary spastic paraplegia type 2,disease,disease,disease_disease,35605667,C0027877|C0751383,C0037773|C0751604,neuronal ceroid lipofuscinosis,hereditary spastic paraplegia,entity1:neuronal ceroid lipofuscinosis|entity2:hereditary spastic paraplegia
257,SPG11,abnormalities in gait coordination,disease,phenotype,disease_phenotype_positive,35605667,in_kg,C1867864|C5667576,,Poor motor coordination,Poor motor coordination
258,SPG11,ataxia,disease,phenotype,disease_phenotype_positive,35605667,in_kg,in_kg,,,
259,SPG11,reduced strength during walking,disease,phenotype,disease_phenotype_positive,35605667,in_kg,C2674511,,Loss of ability to walk,Loss of ability to walk
260,SPG11,neuroinflammation,disease,phenotype,disease_phenotype_positive,35605667,in_kg,in_kg,,,
263,adaptive immune system,SPG11,biological_process,disease,bioprocess_disease,35605667,in_kg,in_kg,,,
280,Infantile neuronal ceroid lipofuscinosis,PPT1,disease,protein/gene,disease_protein,35628400,in_kg,in_kg,,,
283,Infantile neuronal ceroid lipofuscinosis,seizures,disease,phenotype,disease_phenotype_positive,35628400,in_kg,C0036572,,,
284,Infantile neuronal ceroid lipofuscinosis,premature death,disease,phenotype,disease_phenotype_positive,35628400,in_kg,C1855073,,,
290,microglial activation,seizures,pathology,phenotype,pathology_phenotype,35628400,C1326169,C0036572,,,
295,ZDHHC8,NFATC4,protein/gene,protein/gene,protein_protein,35150145,in_kg,in_kg,,,
296,ZDHHC4,NFATC4,protein/gene,protein/gene,protein_protein,35150145,in_kg,in_kg,,,
318,neuronal ceroid lipofuscinoses,neurodegeneration,disease,phenotype,disease_phenotype_positive,34868216,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
320,neuronal ceroid lipofuscinoses,motor impairment,disease,phenotype,disease_phenotype_positive,34868216,C0027877|C0751383,C4025360|C5436522,neuronal ceroid lipofuscinosis,Functional motor deficit,entity1:neuronal ceroid lipofuscinosis|entity2:Functional motor deficit
321,neuronal ceroid lipofuscinoses,ataxia,disease,phenotype,disease_phenotype_positive,34868216,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
323,neuronal ceroid lipofuscinoses,seizures,disease,phenotype,disease_phenotype_positive,34868216,C0027877|C0751383,C0036572,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
324,neuronal ceroid lipofuscinoses,premature death,disease,phenotype,disease_phenotype_positive,34868216,C0027877|C0751383,C1855073,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
327,juvenile neuronal ceroid lipofuscinoses,CLN6,disease,protein/gene,disease_protein,34868216,C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
353,lysosomal storage diseases,Neuronal ceroid lipofuscinoses,disease,disease,disease_disease,34910516,C0085078,C0027877|C0751383,lysosomal storage disease,neuronal ceroid lipofuscinosis,entity1:lysosomal storage disease|entity2:neuronal ceroid lipofuscinosis
363,late-infantile neuronal ceroid lipofuscinoses,retinal degeneration,disease,phenotype,disease_phenotype_positive,34910516,C0268281,in_kg,infantile neuronal ceroid lipofuscinosis,,infantile neuronal ceroid lipofuscinosis
364,late-infantile neuronal ceroid lipofuscinoses,autofluorescent lipofuscin,disease,phenotype,disease_phenotype_positive,34910516,C0268281,C4025642,infantile neuronal ceroid lipofuscinosis,Intracellular accumulation of autofluorescent lipopigment storage material,entity1:infantile neuronal ceroid lipofuscinosis|entity2:Intracellular accumulation of autofluorescent lipopigment storage material
378,progressive vision loss,CLN3,phenotype,protein/gene,phenotype_protein,34913584,C1839364|C2751056,in_kg,Progressive visual loss,,Progressive visual loss
383,neuronal ceroid lipofuscinoses,progressive retinal degeneration,disease,phenotype,disease_phenotype_positive,35033660,C0027877|C0751383,C1854888,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
384,lysosomal storage diseases,neuronal ceroid lipofuscinoses,disease,disease,disease_disease,35033660,C0085078,C0027877|C0751383,lysosomal storage disease,neuronal ceroid lipofuscinosis,entity1:lysosomal storage disease|entity2:neuronal ceroid lipofuscinosis
391,mutant retinas,CTSD,anatomy,protein/gene,anatomy_protein_present,35033660,C0035298,in_kg,retina,,retina
397,Cerliponase alfa,neuronal ceroid lipofuscinosis type 2,drug,disease,indication,35045884,in_kg,C0751383|C1876161,,neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis
398,Neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis type 2,disease,disease,disease_disease,35045884,in_kg,C0751383|C1876161,,neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis
404,mitochondrial reactive oxygen species,PFKFB3,molecular_function,protein/gene,molfunc_protein,35087090,C3156654,in_kg,reactive oxygen species metabolic process,,reactive oxygen species metabolic process
417,Adult Neuronal Ceroid Lipofuscinosis,DNAJC5,disease,protein/gene,disease_protein,36282524,C0022797|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
418,neurodegenerative disorder,Adult Neuronal Ceroid Lipofuscinosis,disease,disease,disease_disease,36282524,C0524851,C0022797|C0751383,,neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis
420,Adult Neuronal Ceroid Lipofuscinosis,premature death,disease,phenotype,disease_phenotype_positive,36282524,C0022797|C0751383,C1855073,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
422,ethosuximide,Adult Neuronal Ceroid Lipofuscinosis,drug,disease,indication,36282524,in_kg,C0022797|C0751383,,neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis
470,CLN5,lipid homeostasis,protein/gene,phenotype,phenotype_protein,35681535,in_kg,in_kg,,,
471,CLN5,sphingolipid metabolism,protein/gene,phenotype,phenotype_protein,35681535,in_kg,in_kg,,,
474,miglustat,rescued locomotor impairment,drug,phenotype,drug_effect,35681535,in_kg,C5680277,,non-syndromic limb reduction defect,non-syndromic limb reduction defect
475,trehalose,rescued locomotor impairment,drug,phenotype,drug_effect,35681535,C0040815,C5680277,,non-syndromic limb reduction defect,non-syndromic limb reduction defect
480,miglustat,decreased in lipid droplets,drug,phenotype,drug_effect,35681535,in_kg,C4020730,,Increased intramyocellular lipid droplets,Increased intramyocellular lipid droplets
551,sepsis,acanthocytosis,disease,phenotype,disease_phenotype_positive,35917699,in_kg,in_kg,,,
554,neurodegenerative lysosomal storage disorders,Neuronal ceroid lipofuscinoses,disease,disease,disease_disease,35921411,C0085078,C0027877|C0751383,lysosomal storage disease,neuronal ceroid lipofuscinosis,entity1:lysosomal storage disease|entity2:neuronal ceroid lipofuscinosis
583,neurodegenerative diseases,neuronal ceroid lipofuscinoses,disease,disease,disease_disease,36011304,in_kg,C0027877|C0751383,,neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis
600,neurodegenerative lysosomal storage disorder,neuronal ceroid lipofuscinosis,disease,disease,disease_disease,36040802,C0085078,in_kg,lysosomal storage disease,,lysosomal storage disease
642,Neuronal Ceroid Lipofuscinoses,CLN3,disease,protein/gene,disease_protein,36088080,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
644,Neuronal Ceroid Lipofuscinoses,CLN5,disease,protein/gene,disease_protein,36088080,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
645,Neuronal Ceroid Lipofuscinoses,CLN6,disease,protein/gene,disease_protein,36088080,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
647,Neuronal Ceroid Lipofuscinoses,CLN8,disease,protein/gene,disease_protein,36088080,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
654,Neuronal Ceroid Lipofuscinoses,PPT1,disease,protein/gene,disease_protein,36088080,C0027877|C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
658,disrupt the alpha helix,PPT1,phenotype,protein/gene,phenotype_protein,36088080,C1837731,in_kg,Overfolded helix,,Overfolded helix
659,higher deviation,PPT1,phenotype,protein/gene,phenotype_protein,36088080,C2201633|C5539690,in_kg,Extreme axis deviation,,Extreme axis deviation
660,fluctuation,PPT1,phenotype,protein/gene,phenotype_protein,36088080,C0231239|C1820737,in_kg,Temperature instability,,Temperature instability
663,impact the function,PPT1,phenotype,protein/gene,phenotype_protein,36088080,C5539751|C5934341,in_kg,Diminished physical functioning,,Diminished physical functioning
667,Lysosomal storage disease,CLCN6,disease,protein/gene,disease_protein,35262198,in_kg,in_kg,,,
668,Neurodegenerative disorders,CLCN6,disease,protein/gene,disease_protein,35262198,C0524851,in_kg,,,
702,PPT1,synaptic cytosol,protein/gene,cellular_component,cellcomp_protein,35358180,in_kg,C4236514,,,
719,CLN3,neurologic dysfunction,protein/gene,phenotype,phenotype_protein,35395398,in_kg,C0751377|C1854838,,Progressive neurologic deterioration,Progressive neurologic deterioration
726,membrane,CLN6,cellular_component,protein/gene,cellcomp_protein,35404973,in_kg,in_kg,,,
744,lysosomal enzyme,TPP1,cellular_component,protein/gene,cellcomp_protein,35425725,C0391845|C2246713,in_kg,secretion of lysosomal enzymes,,secretion of lysosomal enzymes
749,proteolysis,CTSD,biological_process,protein/gene, bioprocess_protein,36347423,in_kg,in_kg,,,
806,KCTD7,CLN5,protein/gene,protein/gene,protein_protein,36368077,in_kg,in_kg,,,
807,KCTD7,CLN5,protein/gene,protein/gene,protein_protein,36368077,in_kg,in_kg,,,
830,neurodegenerative diseases,Developmental regression,disease,phenotype,disease_phenotype_positive,36435927,in_kg,in_kg,,,
836,progressive neurological disorder,anxiety,disease,phenotype,disease_phenotype_positive,35447247,C0393665|C2677535,in_kg,progressive multiple sclerosis,,progressive multiple sclerosis
838,progressive neurological disorder,circling,disease,phenotype,disease_phenotype_positive,35447247,C0393665|C2677535,C0231706,progressive multiple sclerosis,,progressive multiple sclerosis
839,progressive neurological disorder,hypersensitivity,disease,phenotype,disease_phenotype_positive,35447247,C0393665|C2677535,in_kg,progressive multiple sclerosis,,progressive multiple sclerosis
841,progressive neurological disorder,sleep disturbance,disease,phenotype,disease_phenotype_positive,35447247,C0393665|C2677535,in_kg,progressive multiple sclerosis,,progressive multiple sclerosis
842,progressive neurological disorder,loss of coordination,disease,phenotype,disease_phenotype_positive,35447247,C0393665|C2677535,C2751891|C3552909,progressive multiple sclerosis,Poor coordination,entity1:progressive multiple sclerosis|entity2:Poor coordination
845,progressive neurological disorder,visual impairment,disease,phenotype,disease_phenotype_positive,35447247,C0393665|C2677535,in_kg,progressive multiple sclerosis,,progressive multiple sclerosis
856,late-infantile form of neuronal ceroid lipofuscinosis,MFSD8,disease,protein/gene,disease_protein,35457110,C0268281,in_kg,infantile neuronal ceroid lipofuscinosis,,infantile neuronal ceroid lipofuscinosis
860,late-infantile form of neuronal ceroid lipofuscinosis,early onset severe retinal dystrophy,disease,phenotype,disease_phenotype_positive,35457110,C0268281,C1858080,infantile neuronal ceroid lipofuscinosis,severe early-childhood-onset retinal dystrophy,entity1:infantile neuronal ceroid lipofuscinosis|entity2:severe early-childhood-onset retinal dystrophy
867,Adult-onset Neuronal ceroid lipofuscinosis,DNAJC5,disease,protein/gene,disease_protein,35462699,C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
872,Neuronal ceroid lipofuscinosis,lipofuscin deposit,disease,phenotype,disease_phenotype_positive,35462699,in_kg,C4014672|C4023177,,Increased cerebral lipofuscin,Increased cerebral lipofuscin
899,Juvenile neuronal ceroid lipofuscinosis,CLN3,disease,protein/gene,disease_protein,36697260,C0268281|C0751383,in_kg,infantile neuronal ceroid lipofuscinosis,,infantile neuronal ceroid lipofuscinosis
900,neurodegenerative disease,Juvenile neuronal ceroid lipofuscinosis,disease,disease,disease_disease,36697260,C0524851,C0268281|C0751383,,infantile neuronal ceroid lipofuscinosis,infantile neuronal ceroid lipofuscinosis
910,gemfibrozil,neuroinflammation,drug,biological_process,drug_bioprocess,36697260,in_kg,in_kg,,,
917,CLN3,battenin,protein/gene,protein/gene,molfunc_protein,36777709,in_kg,C1413495,,,
918,battenin,cellular homeostasis,protein/gene,biological_process, bioprocess_protein,36777709,C1413495,in_kg,,,
936,neuronal ceroid lipofuscinosis type 7,MFSD8,disease,protein/gene,disease_protein,36833170,C0751383|C1838571,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
938,neuronal ceroid lipofuscinosis type 7,microcephaly,disease,phenotype,disease_phenotype_positive,36833170,C0751383|C1838571,C0025958|C1836806,neuronal ceroid lipofuscinosis,Mild microcephaly,entity1:neuronal ceroid lipofuscinosis|entity2:Mild microcephaly
939,cerebellar atrophy,MFSD8,phenotype,protein/gene,phenotype_protein,36833170,in_kg,in_kg,,,
940,cerebral atrophy,MFSD8,phenotype,protein/gene,phenotype_protein,36833170,in_kg,in_kg,,,
941,developmental regression,MFSD8,phenotype,protein/gene,phenotype_protein,36833170,in_kg,in_kg,,,
943,microcephaly,MFSD8,phenotype,protein/gene,phenotype_protein,36833170,C0025958|C1836806,in_kg,Mild microcephaly,,Mild microcephaly
944,neurodegenerative disorder,neuronal ceroid lipofuscinoses,disease,disease,disease_disease,36876653,C0524851,C0027877|C0751383,,neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis
959,berberine,autophagy,drug,biological_process,drug_bioprocess,36880056,in_kg,in_kg,,,
960,resveratrol,SIRT1,drug,protein/gene,drug_protein,36880056,in_kg,in_kg,,,
961,resveratrol,mitochondrial biogenesis,drug,biological_process,drug_bioprocess,36880056,in_kg,in_kg,,,
