,entity_name,original_entity_types,PMID,relation,entity_side
1157,stimulating pro-apoptotic signaling,biological_process,38853929,bioprocess_bioprocess,2
1159,storage body accumulation,phenotype,35404973|36509165,disease_phenotype_positive|indication,2
1160,storage lipid accumulation within neuronal lipofuscin,phenotype,37184663,disease_phenotype_positive,2
1162,stress granule dynamics,biological_process,36965618,bioprocess_protein,1
1165,sudden loss of consciousness,phenotype,35356463,disease_phenotype_positive,2
1170,surgical site swelling,pathology,34624852,pathology_anatomy_present,1
1171,symmetrical progressive atrophy of the cervical spinal cord,phenotype,34679057,disease_phenotype_positive,2
1172,symmetrical progressive atrophy of the whole brain,phenotype,34679057,disease_phenotype_positive,2
1173,sympathetic nervous system dysregulation,phenotype,35716526,anatomy_disease,2
1174,synapse functions,biological_process,35358180,bioprocess_protein,1
1178,synaptic depletion of tethers,protein/gene,35692423,protein_protein,2
1180,synaptic subcompartments,cellular_component,35358180,cellcomp_protein,2
1181,synaptic vesicle endocytic deficits,phenotype,35358180,disease_phenotype_positive,2
1185,thickening of inner nuclear layer,phenotype,34532411,disease_phenotype_positive,2
1186,thickening of the inner plexiform layer,phenotype,34532411,disease_phenotype_positive,2
1188,thinning of outer photoreceptor segments,phenotype,34532411,disease_phenotype_positive,2
1189,thinning of the whole retina,phenotype,34532411,phenotype_protein,2
1190,thoght-related concerns,phenotype,38500130,disease_protein,2
1193,toxic lysophospholipid accumulation,cellular_component,38447580,cellcomp_cellcomp,2
1205,transacylation reaction,biological_process,39548099,bioprocess_bioprocess,1
1207,transcutaneous vagal stimulation,drug,40244276,drug_bioprocess,1
1209,transient withdrawal of parasympathetic activity,phenotype,39390491,disease_phenotype_positive|phenotype_phenotype,1|2
1222,tumor microenvironment regulation,biological_process,36980592,bioprocess_protein,1
1226,ultrahigh frequency - transcutaneous electrical nerve stimulation,drug,38368171,drug_effect,1
1228,unconventional secretory pathway,biological_process,34188051,bioprocess_protein,1
1231,unusual elevation of lyso-sphingomyelin-509,phenotype,36777709,pathology_phenotype,2
1232,unwillingness to cooperate,phenotype,35427439,disease_phenotype_positive,2
1236,various forms of abnormal movement.,phenotype,36011304,disease_phenotype_positive,2
1243,visual activity decline,phenotype,38500130,disease_phenotype_positive,2
1244,visual decline,phenotype,36964447,disease_phenotype_positive,2
1256,widespread gliosis,phenotype,35256654,disease_phenotype_positive,2
1257,wild-type hematopoietic stem and progenitor cells,Gene therapy,36876653,indication,1
